graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,10,0.8519047617912292,0.02700325311611778,0.8744444370269775,nan,-0.10859943833385301,0.08630615225218756,-0.15899923750249348,-0.15533383035663076,0.04612133179829272,0.04591188187430802,3.976303958892822,0.03126985430717466
heterophily,gcn,10,0.8046031653881073,0.023623071176250426,0.8333333373069763,nan,nan,nan,nan,nan,nan,nan,0.847560715675354,-0.016031742095947266
heterophily,k_only_gt,10,0.8228571355342865,0.030368536537800094,0.8388888895511627,0.006505780178122223,nan,nan,nan,nan,nan,nan,4.735807275772094,0.002222228050231978
heterophily,linear_gt,10,0.8206349074840545,0.03249124569026325,0.8388888835906982,nan,nan,nan,nan,nan,nan,nan,3.8887628078460694,0.0
heterophily,mlp,10,0.6550793647766113,0.03140330475431651,0.674999988079071,nan,nan,nan,nan,nan,nan,nan,0.13142411708831786,-0.16555554270744322
heterophily,q_only_gt,10,0.82222221493721,0.02941437482590292,0.8361111164093018,0.007333128806203603,nan,nan,nan,nan,nan,nan,4.426657009124756,0.0015873074531554954
heterophily,qk_gt,10,0.8234920561313629,0.031425365853066524,0.8394444465637207,0.00683737185318023,nan,nan,nan,nan,nan,nan,4.812270855903625,0.0028571486473083496
heterophily,reliability_gt,10,0.8558730065822602,0.026615595273041134,0.8755555629730225,0.006776287336833775,0.07585312826493484,0.04665691372206832,0.15996038528415452,0.02518714600449876,0.10819160976042781,0.0014921870449465195,4.562840914726257,0.03523809909820563
homophily,gate_gt,10,0.9657142758369446,0.015277728923080672,0.97833331823349,nan,-0.035694850018572345,-0.047736642476177676,0.018253656848931425,-0.09694889771767615,0.0023426642596571794,-0.03662279293914107,2.698962664604187,0.04746031165122988
homophily,gcn,10,0.9955555379390717,0.0029949163620454117,0.9983333289623261,nan,nan,nan,nan,nan,nan,nan,0.4657336711883545,0.077301573753357
homophily,k_only_gt,10,0.9293650686740875,0.014290118779991928,0.9427777707576752,0.006529848626814783,nan,nan,nan,nan,nan,nan,3.8349221467971804,0.011111104488372825
homophily,linear_gt,10,0.9182539641857147,0.024325104552557014,0.9377777814865113,nan,nan,nan,nan,nan,nan,nan,2.8691076040267944,0.0
homophily,mlp,10,0.6550793647766113,0.03140330475431651,0.674999988079071,nan,nan,nan,nan,nan,nan,nan,0.11071531772613526,-0.26317459940910337
homophily,q_only_gt,10,0.9292063355445862,0.014324461719795895,0.9427777707576752,0.00716100768186152,nan,nan,nan,nan,nan,nan,3.8343436479568482,0.010952371358871504
homophily,qk_gt,10,0.9292063355445862,0.014394644370064885,0.9427777707576752,0.006785161164589226,nan,nan,nan,nan,nan,nan,4.268441104888916,0.010952371358871504
homophily,reliability_gt,10,0.9707936406135559,0.010218082024438172,0.9811111032962799,0.006791863730177284,-0.07245914019308068,-0.05186532340351,-0.03237938269867064,-0.05146302495073188,0.037006625741638606,-0.052174103945988114,3.2532930850982664,0.052539676427841187
noisy,gate_gt,10,0.6028571486473083,0.040298705522425884,0.6438888907432556,nan,-0.1275632545909026,-0.049631475159139404,-0.0937048442407148,-0.08628888941699057,-0.04192628757682134,-0.03775688638915261,3.0180660486221313,0.0015872985124587569
noisy,gcn,10,0.788095235824585,0.02402285268375419,0.8066666722297668,nan,nan,nan,nan,nan,nan,nan,1.4986825704574585,0.1868253856897354
noisy,k_only_gt,10,0.6022222220897675,0.038228605603714716,0.6338888823986053,0.006668332708068192,nan,nan,nan,nan,nan,nan,3.5506948471069335,0.0009523719549179299
noisy,linear_gt,10,0.6012698501348496,0.04666127046815236,0.6372222185134888,nan,nan,nan,nan,nan,nan,nan,3.423534870147705,0.0
noisy,mlp,10,0.5638095378875733,0.030073400396843596,0.5844444453716278,nan,nan,nan,nan,nan,nan,nan,0.11387271881103515,-0.037460312247276306
noisy,q_only_gt,10,0.5992063462734223,0.042171169166318655,0.6327777683734894,0.007257568696513772,nan,nan,nan,nan,nan,nan,3.2386907815933226,-0.002063503861427285
noisy,qk_gt,10,0.5968254029750824,0.043487428589019,0.6327777683734894,0.006952078104950488,nan,nan,nan,nan,nan,nan,3.5930567741394044,-0.0044444471597672175
noisy,reliability_gt,10,0.6177777826786042,0.04209072891553319,0.6455555438995362,0.006816141633316874,-0.15859015086185832,0.12461965473766987,0.007062407670422436,-0.08676561837297724,0.0727253310362874,0.10762997582523245,3.5390496492385863,0.0165079325437546
