dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_constant_reliability,iterative_relation_frozen,constant_reliability,undirected,0:0,0,0,167,0.8317740559577942,0.8148605227470398,0.7620476684920551,0.75,0.8222418427467346,0.816272497177124,0.7611244496482534,4.76837158203125e-06,166144,157568,0,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,9.651818752288818,0.7771919369697571,0.06779062002897263,0.6500118374824524,0.8499681353569031,nan,0.06511671841144562,0.09998816251754761,0.09143826365470886,1.1013377904891968,0.5814979672431946,5.462640762329102,0.4629858732223511,0.3527637720108032,0.06464351381666648,0.11990464484296277,0.03685338378150757,-0.07679743302632122,nan
Roman-empire,iterative_relation_frozen_constant_reliability,iterative_relation_frozen,constant_reliability,undirected,1:0,1,0,96,0.8337157964706421,0.8362159729003906,0.7865643636714589,0.75,0.8255957365036011,0.8219202160835266,0.7686104930221709,4.76837158203125e-06,166144,157568,0,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.833531856536865,0.7791789770126343,0.06560023128986359,0.6501321196556091,0.8497900366783142,nan,0.06310863047838211,0.09986788034439087,0.08691812306642532,1.0037935972213745,0.5090644359588623,5.466213703155518,0.44390058517456055,0.3417421281337738,-0.09592945925538574,0.1123480477683158,-0.043211119628381076,0.04878472348878552,nan
Roman-empire,iterative_relation_frozen_constant_reliability,iterative_relation_frozen,constant_reliability,undirected,2:0,2,0,50,0.8255957365036011,0.8228026628494263,0.7779057880280303,0.75,0.8206531405448914,0.811683714389801,0.7612940558570545,4.76837158203125e-06,166144,157568,0,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.882351398468018,0.7728819847106934,0.06277532875537872,0.6504928469657898,0.8498539924621582,nan,0.05729053542017937,0.0998539924621582,0.07603567093610764,0.8564468026161194,0.431363970041275,5.517248630523682,0.49935266375541687,0.3522956967353821,0.005401488583241471,0.06359939873124092,0.05910286502315524,0.15096837469327073,nan
