dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Pubmed,iterative_relation_finetune_combined_constant,iterative_relation_finetune,combined_constant,undirected,0:0,0,0,13,0.7620000243186951,0.7560000419616699,0.7542323764637907,1.0,0.7460000514984131,0.7500000596046448,0.7559387893146875,9.5367431640625e-07,273667,166144,107523,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,4.254307270050049,0.994638204574585,0.01117379404604435,0.9209852814674377,1.0,nan,0.005361789371818304,0.07901471853256226,0.0016906383680179715,0.03569508343935013,0.10165280848741531,4.782275676727295,0.5133211016654968,0.20556621253490448,-0.2259541832243906,-0.08576944592561564,-0.1949131256793122,-0.10787632114547227,nan
Pubmed,iterative_relation_finetune_combined_constant,iterative_relation_finetune,combined_constant,undirected,0:1,0,1,-1,0.7280000448226929,0.7330000400543213,0.732449787867056,0.75,0.7280000448226929,0.7330000400543213,0.732449787867056,9.5367431640625e-07,273667,166144,107523,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.6168742179870605,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.369574546813965,0.5061782598495483,0.08950763195753098,nan,nan,nan,nan,nan
Pubmed,iterative_relation_finetune_combined_constant,iterative_relation_finetune,combined_constant,undirected,0:2,0,2,-1,0.7200000286102295,0.7300000190734863,0.7334866694984283,0.75,0.7200000286102295,0.7300000190734863,0.7334866694984283,1.430511474609375e-06,273667,166144,107523,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,2.6126484870910645,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,2.260387420654297,0.501291811466217,0.09381227940320969,nan,nan,nan,nan,nan
