dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Pubmed,iterative_relation_frozen,constant_reliability,3,0.7376667062441508,0.008806578424014196,0.7401671318592673,0.7376667062441508,0.0,0.8333333333333334,0.8342093030611674,0.008376728743314743,0.00801019680996736,0.015031933784484863,0.001960070182879766,0.023270075519879658,0.02481202781200409,2.827209949493408,0.5187262495358785,0.08520143230756123,-0.09993265916468592,-0.5484014396401169,nan,166144.0,157568.0,0.0
Pubmed,iterative_relation_frozen,feature_only,3,0.7386667132377625,0.008013886069558412,0.7414345689220582,0.7376667062441508,0.0010000069936116536,0.8333333333333334,0.8336741924285889,0.002445997359851996,0.0022748798752824464,0.0074306925137837725,0.0005588580388575792,0.007279474288225174,0.00825028121471405,2.244470198949178,0.5040162603060404,0.07350329061349233,-0.022947710147435258,-0.19538441205736518,nan,166144.0,156544.0,0.0
Pubmed,iterative_relation_frozen,fixed,3,0.7376667062441508,0.008806578424014196,0.740625082226724,0.7376667062441508,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Pubmed,iterative_relation_frozen,reliability_only,3,0.7380000352859497,0.008524493009076045,0.7407664513013711,0.7376667062441508,0.0003333290417989095,0.8333333333333334,0.8334202369054159,0.0006790296950687965,0.0006171326385810971,0.002311448256174723,0.00016139499105823538,0.002026931382715702,0.0020822901278734207,1.801613489786784,0.5011035402615865,0.0677017942070961,0.049576560579718584,-0.7282059665879361,-0.7470102687775715,166144.0,157568.0,0.0
Pubmed,iterative_relation_frozen,shuffled_reliability,3,0.7380000352859497,0.008524493009076045,0.7408864542342036,0.7376667062441508,0.0003333290417989095,0.8333333333333334,0.8336314757664999,0.002708324852089087,0.002496488237132629,0.008468806743621826,0.0006509878827879826,0.00804431363940239,0.00809847004711628,2.155656019846598,0.5057443579037985,0.07151561478773753,-0.011594838705763428,-0.09198607330421465,-0.7843120668374967,166144.0,157568.0,0.0
Roman-empire,iterative_relation_finetune,combined,3,0.8456877072652181,0.00547661743030761,0.804026600431466,0.8166254758834839,0.02906223138173421,0.75,0.7830445369084676,0.047597107787926994,0.05020594224333763,0.09947854280471802,0.05698486417531967,0.6683326959609985,0.574144979317983,7.360555330912272,0.5083880325158437,0.4469009041786194,0.23821407243188067,-0.11788778219745102,-0.07997266626075518,261842.0,166144.0,95698.0
Roman-empire,iterative_relation_finetune,combined_constant,3,0.8236851096153259,0.008116034980859345,0.7739448337321992,0.8166254758834839,0.007059633731842041,0.75,0.7812390526135763,0.03582510848840078,0.042903508991003036,0.06653094291687012,0.04514933377504349,0.5179120500882467,0.41073769330978394,6.55141814549764,0.4810487926006317,0.37597500284512836,-0.12919956858926296,-0.07067828351273328,nan,261842.0,166144.0,95698.0
Roman-empire,iterative_relation_finetune,combined_shuffled,3,0.8195669849713644,0.008122846118538916,0.7684346335049477,0.8166254758834839,0.0029415090878804526,0.75,0.7633742491404215,0.015695294986168545,0.018032990396022797,0.03321576118469238,0.01981416841348012,0.22770416736602783,0.1780650019645691,5.057601769765218,0.45459410548210144,0.2995799680550893,-0.1395697283534366,-0.10515946156208539,-0.3771249529244808,261842.0,166144.0,95698.0
Roman-empire,iterative_relation_finetune,constant_reliability,3,0.8200376431147257,0.008771856887198053,0.7694032849802634,0.8166254758834839,0.003412167231241862,0.75,0.7635505398114523,0.015494048595428467,0.017962432156006496,0.032765825589497886,0.021352621416250866,0.24693860610326132,0.1710139513015747,4.687225421269734,0.46149806181589764,0.2856394350528717,-0.1963114320420823,-0.17747747319157922,nan,261842.0,157568.0,95698.0
Roman-empire,iterative_relation_finetune,feature_only,3,0.8237439592679342,0.0067810842282800855,0.7743096219524692,0.8166254758834839,0.007118483384450276,0.75,0.7800525029500326,0.03191658606131872,0.03918463115890821,0.06605674823125203,0.04446112116177877,0.4960932731628418,0.37284985184669495,5.919960339864095,0.49228710929552716,0.36067381997903186,-0.14718109426414272,-0.02970070984392255,nan,261842.0,156544.0,95698.0
Roman-empire,iterative_relation_finetune,fixed,3,0.823508620262146,0.005526917821537537,0.7729296893636907,0.8166254758834839,0.006883144378662109,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,95698.0,0.0,95698.0
Roman-empire,iterative_relation_finetune,reliability_only,3,0.8465701540311178,0.006876870774884715,0.8032754399842239,0.8166254758834839,0.02994467814763387,0.75,0.7805957992871603,0.04628022387623787,0.04730332766969999,0.09970555702845256,0.053954847157001495,0.6389864881833395,0.5565188328425089,7.0800065994262695,0.47905529538790387,0.43890631198883057,0.2658897137711428,-0.2134728335504417,-0.17659058876593806,261842.0,157568.0,95698.0
Roman-empire,iterative_relation_finetune,shuffled_reliability,3,0.8243322571118673,0.006486840028242024,0.7739986562086527,0.8166254758834839,0.007706781228383382,0.75,0.7803043127059937,0.03149659434954325,0.03924703970551491,0.0660790205001831,0.04511096825202306,0.49932676553726196,0.3672812283039093,5.9104524453481035,0.4922124743461609,0.35748979945977527,-0.10709294272717113,0.05360235208478529,-0.21682968315582327,261842.0,157568.0,95698.0
Roman-empire,iterative_relation_frozen,combined,3,0.8331568241119385,0.004477298931470875,0.7828426067050138,0.8166254758834839,0.01653134822845459,0.75,0.7677873969078064,0.06198641906181971,0.05743509531021118,0.09971648454666138,0.0854699860016505,1.0136658549308777,0.6603849530220032,6.548509438832601,0.5019786159197489,0.41109082102775574,-0.009344791962044657,-0.01698538512177186,0.16807060935274848,166144.0,166144.0,0.0
Roman-empire,iterative_relation_frozen,combined_constant,3,0.8185080488522848,0.006255426095545128,0.766207417348539,0.8166254758834839,0.0018825729688008626,0.75,0.770391563574473,0.04369785434876879,0.04234345552201072,0.07137739658355713,0.06114010295520226,0.7222796926895777,0.375298244257768,5.020438989003499,0.4513287941614787,0.31700382630030316,0.05092390158293917,0.08661982356351926,nan,166144.0,166144.0,0.0
Roman-empire,iterative_relation_frozen,combined_shuffled,3,0.8210377295811971,0.006442942689580731,0.7716605493476342,0.8166254758834839,0.004412253697713216,0.75,0.7752252817153931,0.052289278556903206,0.050125572830438614,0.09881206353505452,0.07270577549934387,0.848206639289856,0.49347687760988873,5.814427216847737,0.4809728264808655,0.36325467626253766,0.06726038374273131,0.09429178817164334,-0.11403911964712793,166144.0,166144.0,0.0
Roman-empire,iterative_relation_frozen,constant_reliability,3,0.8246263861656189,0.008813182847816918,0.7755059400638481,0.8166254758834839,0.00800091028213501,0.75,0.7764176328976949,0.06538872669140498,0.0618386281033357,0.09990334510803223,0.08479735255241394,0.9871927301088969,0.5073087910811106,5.482034365336101,0.4687463740507762,0.348933865626653,0.09861736378083984,0.040985221718578345,nan,166144.0,157568.0,0.0
Roman-empire,iterative_relation_frozen,feature_only,3,0.8191551764806112,0.007142019491050623,0.7678752460459918,0.8166254758834839,0.002529700597127279,0.75,0.7702428698539734,0.04171933761487404,0.040545722314467035,0.07133630911509196,0.05869938557346662,0.698067824045817,0.3822025979558627,4.836531162261963,0.4311769902706146,0.3044358193874359,0.041700996734866165,0.05841799960276005,nan,166144.0,156544.0,0.0
Roman-empire,iterative_relation_frozen,fixed,3,0.8166254758834839,0.004186481196006125,0.7636763328424929,0.8166254758834839,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
Roman-empire,iterative_relation_frozen,reliability_only,3,0.8356277147928873,0.006032332734932863,0.7892673824930705,0.8166254758834839,0.019002238909403484,0.75,0.7683604756991068,0.06416146457195282,0.05898177002867063,0.09994900226593018,0.08381691326697667,0.985952099164327,0.6721034447352091,6.6404720942179365,0.5143733223279318,0.42163926362991333,-0.10002154554325027,0.16753489660042525,0.26289323638501616,166144.0,157568.0,0.0
Roman-empire,iterative_relation_frozen,shuffled_reliability,3,0.8213318785031637,0.006626199047350968,0.7718453921371548,0.8166254758834839,0.004706402619679769,0.75,0.7720965345700582,0.05177197977900505,0.04832840338349342,0.0978085994720459,0.07231647272904713,0.8410640954971313,0.4822501639525096,5.678613185882568,0.4873720407485962,0.36570056279500324,0.0606605501493829,0.05790077160633531,-0.2167227619224214,166144.0,157568.0,0.0
