dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_combined_constant,iterative_relation_finetune,combined_constant,undirected,0:0,0,0,-1,0.8222418427467346,0.816272497177124,0.7611244496482534,0.75,0.8222418427467346,0.816272497177124,0.7611244496482534,4.76837158203125e-06,261842,166144,95698,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.9970920085906982,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,4.155614852905273,0.4429672360420227,0.251677542924881,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_combined_constant,iterative_relation_finetune,combined_constant,undirected,1:0,1,0,190,0.8337157964706421,0.8349805474281311,0.7876626671269207,0.75,0.8255957365036011,0.8219202160835266,0.7686104930221709,3.814697265625e-06,261842,166144,95698,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,9.881385087966919,0.793228805065155,0.05330695956945419,0.6576017141342163,0.8497570753097534,nan,0.06069831922650337,0.09975707530975342,0.06784195452928543,0.8038892149925232,0.5993161797523499,7.516805648803711,0.4926750957965851,0.41502419114112854,-0.20368544704316172,-0.10295451685745789,-0.26192876623043865,-0.22440146643722278,nan
Roman-empire,iterative_relation_finetune_combined_constant,iterative_relation_finetune,combined_constant,undirected,2:0,2,0,77,0.8245366215705872,0.8198022842407227,0.7730473844214237,0.75,0.8206531405448914,0.811683714389801,0.7612940558570545,3.814697265625e-06,261842,166144,95698,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,6.8567845821380615,0.8004883527755737,0.05416836589574814,0.6542032957077026,0.8498357534408569,nan,0.06801220774650574,0.09983575344085693,0.06760604679584503,0.7498469352722168,0.632896900177002,7.9818339347839355,0.5075040459632874,0.4612232744693756,-0.2028650211499296,-0.15544462032106804,-0.10082164683886789,0.08304489941175623,nan
