dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,0:0,0,0,13,0.8238305449485779,0.8139780759811401,0.7608854104959547,0.75,0.8222418427467346,0.816272497177124,0.7611244496482534,4.76837158203125e-06,166144,157568,0,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.226036310195923,0.7761845588684082,0.039828136563301086,0.6579882502555847,0.843769371509552,nan,0.04001231491565704,0.093769371509552,0.062486886978149414,0.7534847259521484,0.4067356586456299,5.230042457580566,0.4767099618911743,0.3418680429458618,0.18604258749505975,0.05433126102192219,0.1856453141112408,0.042369978734687855,-0.4078808851408334
Roman-empire,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,1:0,1,0,76,0.8315975069999695,0.8300387859344482,0.7803429658739498,0.75,0.8255957365036011,0.8219202160835266,0.7686104930221709,4.76837158203125e-06,166144,157568,0,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,5.9280595779418945,0.770351231098175,0.06034465506672859,0.6500555872917175,0.8498918414115906,nan,0.05553688853979111,0.09994441270828247,0.08126812428236008,0.9436354637145996,0.5824041366577148,6.098857879638672,0.4658434987068176,0.3949351906776428,-0.022371574782167697,0.09967029647098609,-0.00042487007281317437,0.037667463335813306,-2.235961864888684e-07
Roman-empire,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,2:0,2,0,32,0.8225948810577393,0.8199787735939026,0.7743078000415596,0.75,0.8206531405448914,0.811683714389801,0.7612940558570545,4.76837158203125e-06,166144,157568,0,0.1,0.001,3,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.0488972663879395,0.7697538137435913,0.055143147706985474,0.6509741544723511,0.8497120141983032,nan,0.04943600669503212,0.09971201419830322,0.07319440692663193,0.826072096824646,0.45761069655418396,5.706939220428467,0.5195626616477966,0.3602984547615051,0.02642870799441166,0.02798009295524042,0.06519815741642385,0.09366487274850478,-0.24228717703024433
