dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,reliability_encoder_mode,reliability_component_dim,component_missing_mode,alpha_type,alpha_groups,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,0:0,0,0,74,accuracy,0.8259487748146057,0.8157430291175842,0.8259487748146057,0.8157430291175842,nan,nan,0.7641305719336056,frozen,0.75,0.8227713704109192,0.8168019652366638,0.8227713704109192,0.8168019652366638,nan,nan,0.7617314794778828,4.76837158203125e-06,159328,150752,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,channel,4,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,11.348021745681763,0.7755256295204163,0.061176639050245285,0.6500824093818665,0.8499362468719482,nan,0.05773954093456268,0.09993624687194824,0.07454554736614227,0.8767389059066772,0.5715161561965942,0.04736221209168434,0.04864099994301796,5.997839450836182,0.5143910050392151,0.39807629585266113,0.04658474622669605,0.1294692930970209,0.0004892241735967911,-0.12624083584523912,-0.09854390268905151
Roman-empire,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,1:0,1,0,42,accuracy,0.8314209580421448,0.8321567177772522,0.8314209580421448,0.8321567177772522,nan,nan,0.7819806564023696,frozen,0.75,0.8247131109237671,0.8243910670280457,0.8247131109237671,0.8243910670280457,nan,nan,0.7712128520525384,5.7220458984375e-06,159328,150752,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,channel,4,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,6.712387323379517,0.77313631772995,0.05330998823046684,0.6504186391830444,0.8496729135513306,nan,0.049102336168289185,0.09967291355133057,0.07640912383794785,0.8962852358818054,0.47601377964019775,0.047052398324012756,0.048234760761260986,5.2993245124816895,0.4821959435939789,0.37278085947036743,0.18179650085988908,0.1586785054757128,0.19097127275696013,0.14531378089711108,-0.0033801714246436748
Roman-empire,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,2:0,2,0,22,accuracy,0.8259487748146057,0.8233321309089661,0.8259487748146057,0.8233321309089661,nan,nan,0.7764078093722246,frozen,0.75,0.8215357065200806,0.8173314332962036,0.8215357065200806,0.8173314332962036,nan,nan,0.7701882662561065,5.7220458984375e-06,159328,150752,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,channel,4,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.714433193206787,0.77546226978302,0.05041981115937233,0.6513770222663879,0.8488675951957703,nan,0.04758406803011894,0.09886759519577026,0.07879374921321869,0.887384295463562,0.45635831356048584,0.05091429874300957,0.05242670699954033,5.18575382232666,0.47768938541412354,0.3583259582519531,-0.04753595190692207,-0.055107068390995224,-0.03953042316726847,0.035375681502602806,0.3923125439323643
