dataset,family,control_mode,split,seed,base_alpha,test_accuracy,fixed_test_accuracy,accuracy_delta_pp,corrected_rate,harmed_rate,net_correction_rate,margin_delta_mean,alpha_abs_adjustment_mean,alpha_signed_adjustment_mean,alpha_channel_std_mean,local_channel_fraction_mean,relation_norm_mean,base_mixed_norm_mean,relation_to_base_norm_mean,weighted_local_shift_mean,corr_relation_ratio_margin_delta,corr_alpha_abs_margin_delta,corr_weighted_shift_margin_delta,corrected_relation_norm_mean,harmed_relation_norm_mean,corrected_relation_to_base_norm,harmed_relation_to_base_norm,corrected_alpha_abs_mean,harmed_alpha_abs_mean,corrected_weighted_local_shift_mean,harmed_weighted_local_shift_mean,preference_count,weighted_shift_auc_local_preference,local_channel_fraction_auc_local_preference,alpha_abs_auc_changed_prediction,payload_path
Roman-empire,iterative_relation_finetune,feature_only,2,0,0.75,0.8272149562835693,0.8155665397644043,1.164841651916504,0.02382633276283741,0.012177903205156326,0.011648429557681084,0.5858324766159058,0.05729369446635246,0.03921521082520485,0.05233483389019966,0.7358862161636353,0.644695520401001,2.021869421005249,0.31886110631242753,-0.0004885057569481432,0.05687998980283737,0.16693323850631714,-0.033131811767816544,0.6054443120956421,0.6193761229515076,0.3098801721132464,0.3315513558071956,0.056750912219285965,0.05702981725335121,0.00010242727148579434,-0.00010226215817965567,0,nan,nan,0.40394786621376644,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_feature_only\split2_seed0.pt
Roman-empire,iterative_relation_finetune,shuffled_reliability,2,0,0.75,0.8233321309089661,0.8155665397644043,0.7765591144561768,0.024355806410312653,0.016590187326073647,0.007765619084239006,0.5961631536483765,0.05544789880514145,0.03845493122935295,0.05019766092300415,0.7446321845054626,0.7228288650512695,2.0426180362701416,0.35387373077894113,-0.0013881775084882975,-0.03543254733085632,-0.0025065147783607244,0.06684795767068863,0.6992208957672119,0.7070713639259338,0.35993911063131423,0.3792378778004253,0.055189911276102066,0.05584977939724922,-0.0016141263768076897,-0.0012550493702292442,0,nan,nan,0.4769737597941224,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_shuffled_reliability\split2_seed0.pt
Roman-empire,iterative_relation_finetune,constant_reliability,2,0,0.75,0.8226261734962463,0.8155665397644043,0.7059633731842041,0.02170843631029129,0.014648782089352608,0.0070596542209386826,0.5748487710952759,0.05923845246434212,0.03916209936141968,0.05375659465789795,0.7261515855789185,0.7069088816642761,2.045527935028076,0.3455874982487459,-0.002473247703164816,-0.11225651949644089,0.004673652350902557,0.12426891177892685,0.6803350448608398,0.6904226541519165,0.3425878436525133,0.3563142478696577,0.05881139636039734,0.05897026136517525,-0.0025568711571395397,-0.002203446812927723,0,nan,nan,0.361559481039395,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_constant_reliability\split2_seed0.pt
Roman-empire,iterative_relation_finetune,feature_only,3,0,0.75,0.8215672373771667,0.821037769317627,0.05294680595397949,0.01500176452100277,0.014472290873527527,0.0005294736474752426,-0.09255870431661606,0.07470877468585968,0.04386204853653908,0.06597024202346802,0.7265625,1.2317981719970703,2.3059279918670654,0.5341876139851649,0.02351813204586506,0.04262138530611992,0.006434344686567783,-1.8095364794135094e-05,1.2139191627502441,1.2194933891296387,0.5696657491380968,0.559079733793312,0.07470931112766266,0.07470928132534027,0.022133061662316322,0.022432852536439896,0,nan,nan,0.5984425629166189,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_feature_only\split3_seed0.pt
Roman-empire,iterative_relation_finetune,shuffled_reliability,3,0,0.75,0.8215672373771667,0.821037769317627,0.05294680595397949,0.014472290873527527,0.013942817226052284,0.0005294736474752426,-0.08306052535772324,0.0742286890745163,0.044169362634420395,0.0651845633983612,0.734375,1.2356311082839966,2.312429428100586,0.5343432726069983,0.024296101182699203,0.04794399067759514,0.102488674223423,0.0029995543882250786,1.22135329246521,1.2258847951889038,0.5764297976188119,0.5592430250068114,0.07423652708530426,0.07422564178705215,0.022954877465963364,0.023417413234710693,0,nan,nan,0.4959363448076973,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_shuffled_reliability\split3_seed0.pt
Roman-empire,iterative_relation_finetune,constant_reliability,3,0,0.75,0.8242146372795105,0.821037769317627,0.3176867961883545,0.016060713678598404,0.012883868999779224,0.0031768446788191795,0.04674085974693298,0.0768086165189743,0.047097042202949524,0.06595887988805771,0.7578125,1.257643461227417,2.284383535385132,0.5505395402070199,0.022693919017910957,0.07705790549516678,0.0766664445400238,0.05592796206474304,1.2704110145568848,1.2649083137512207,0.5971045557420589,0.5745276404949934,0.07680129259824753,0.07679660618305206,0.022831950336694717,0.023287048563361168,0,nan,nan,0.4962784290928731,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_constant_reliability\split3_seed0.pt
Roman-empire,iterative_relation_finetune,feature_only,4,0,0.5,0.820861279964447,0.8148605823516846,0.6000697612762451,0.014119308441877365,0.008118602447211742,0.006000705994665623,0.060939352959394455,0.06973745673894882,0.05374366417527199,0.05403793603181839,0.7818745970726013,0.5464006066322327,1.6093019247055054,0.3395264730900147,0.029511163011193275,-0.10480417311191559,-0.10819513350725174,0.07497736811637878,0.5560401678085327,0.5530816316604614,0.3509840323587746,0.34962619054975347,0.06974045187234879,0.06969135254621506,0.030341416597366333,0.03147459402680397,0,nan,nan,0.4649988147746802,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_feature_only\split4_seed0.pt
Roman-empire,iterative_relation_finetune,shuffled_reliability,4,0,0.5,0.820861279964447,0.8148605823516846,0.6000697612762451,0.013766325078904629,0.007765619549900293,0.006000705529004335,0.06485214084386826,0.07097967714071274,0.054591983556747437,0.05463356524705887,0.78125,0.555419921875,1.6160073280334473,0.3436988881423588,0.029801562428474426,-0.08552013337612152,0.011668148450553417,0.02264218032360077,0.5693701505661011,0.5673106908798218,0.3582120055568268,0.3518028303181866,0.07103950530290604,0.07103201001882553,0.0305876936763525,0.031140118837356567,0,nan,nan,0.6320425631552931,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_shuffled_reliability\split4_seed0.pt
Roman-empire,iterative_relation_finetune,constant_reliability,4,0,0.5,0.8245676159858704,0.8148605823516846,0.9707033634185791,0.022943874821066856,0.013236851431429386,0.00970702338963747,0.2718316316604614,0.07514708489179611,0.06437332183122635,0.0487353652715683,0.856545627117157,0.5860131978988647,1.6404823064804077,0.3572200660646769,0.037637464702129364,0.027940886095166206,-0.0751449316740036,-0.03771426901221275,0.5994659662246704,0.5911316275596619,0.3739774100222705,0.3813501787291233,0.07517512142658234,0.07516095787286758,0.03803352266550064,0.03829896077513695,0,nan,nan,0.5909013338729533,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_constant_reliability\split4_seed0.pt
Roman-empire,iterative_relation_finetune,feature_only,5,0,0.75,0.8413342833518982,0.8400988578796387,0.12354254722595215,0.01500176452100277,0.013766325078904629,0.0012354394420981407,0.27336591482162476,0.07187747955322266,0.051176492124795914,0.05874282494187355,0.7728197574615479,0.8673807382583618,2.1586198806762695,0.4018218983448915,0.02360379509627819,-0.04091319069266319,-0.10916373878717422,-0.023186305537819862,0.904009997844696,0.8790350556373596,0.44641673270645477,0.42664055905052134,0.07228248566389084,0.07204990833997726,0.024764126166701317,0.024327989667654037,0,nan,nan,0.6264901933527944,D:\Desktop\调研\experiments\reliability_routing\outputs\iter_relation_mechanism_v1\_node_diagnostics\Roman-empire\iterative_relation_finetune_feature_only\split5_seed0.pt
