dataset,router,n,successful_n,status_counts,test_preference_count_mean,test_preference_auc_mean,test_preference_auc_std,test_preference_auc_ci95_low,test_preference_auc_ci95_high,test_balanced_accuracy_mean,test_routing_accuracy_mean,test_routed_node_accuracy_mean
Actor,reliability_only,1,1,ok:1,461.0,0.5413764308118458,0.0,0.5413764308118458,0.5413764308118458,0.5269155566418184,0.5813449023861171,0.3407894968986511
Actor,node_feature_only,1,1,ok:1,461.0,0.5605421809442339,0.0,0.5605421809442339,0.5605421809442339,0.5595136258096053,0.596529284164859,0.3453947603702545
Actor,combined,1,1,ok:1,461.0,0.5408163265306123,0.0,0.5408163265306123,0.5408163265306123,0.5280153977758768,0.559652928416486,0.3342105448246002
Chameleon,reliability_only,1,1,ok:1,175.0,0.6160544217687076,0.0,0.6160544217687076,0.6160544217687076,0.5857142857142856,0.6,0.5482456088066101
Chameleon,node_feature_only,1,1,ok:1,175.0,0.5224489795918368,0.0,0.5224489795918368,0.5224489795918368,0.5142857142857142,0.5085714285714286,0.5131579041481018
Chameleon,combined,1,1,ok:1,175.0,0.5751020408163265,0.0,0.5751020408163265,0.5751020408163265,0.5571428571428572,0.5657142857142857,0.5350877046585083
Roman-empire,reliability_only,1,1,ok:1,2974.0,0.8048712595685455,0.0,0.8048712595685455,0.8048712595685455,0.7071398747390396,0.5645595158036315,0.43611010909080505
Roman-empire,node_feature_only,1,1,ok:1,2974.0,0.8388430758524704,0.0,0.8388430758524704,0.8388430758524704,0.69714335421016,0.8157363819771352,0.5679491758346558
Roman-empire,combined,1,1,ok:1,2974.0,0.8682985386221294,0.0,0.8682985386221294,0.8682985386221294,0.7817118997912318,0.8392737054472091,0.5803035497665405
