"strength","dataset","family","comparison","n","delta","low","high","wins","ties","losses"
"0.10","Actor","hidden_mixing_frozen","reliability_only - fixed","5","0.000131571292877197","-0.000933510209454926","0.00119665279520932","2","1","2"
"0.10","Actor","hidden_mixing_frozen","combined - fixed","5","-0.00144737362861633","-0.00593653032815211","0.00304178307091944","1","3","1"
"0.10","Actor","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.00118420720100403","-0.00215404054383604","0.0045224549458441","3","1","1"
"0.10","Actor","hidden_mixing_frozen","true reliability - constant reliability","5","0.000394731760025024","-0.000536647549327723","0.00132611106937777","3","1","1"
"0.10","Actor","hidden_mixing_frozen","true reliability - zero reliability","5","0.000394731760025024","-0.000536647549327723","0.00132611106937777","3","1","1"
"0.10","Actor","hidden_mixing_frozen","combined - feature_only","5","0.00105262994766235","-0.00336912047224954","0.00547438036757424","1","3","1"
"0.10","Actor","hidden_mixing_frozen","combined - combined_shuffled","5","0.000131577253341675","-0.00190244784466426","0.00216560235134761","1","3","1"
"0.10","Actor","hidden_mixing_frozen","combined - combined_constant","5","-0.000394737720489502","-0.00570762076817686","0.00491814532719785","1","2","2"
"0.10","Actor","hidden_mixing_finetune","reliability_only - fixed","5","-0.000263166427612305","-0.00119456358730184","0.000668230732077232","1","2","2"
"0.10","Actor","hidden_mixing_finetune","combined - fixed","5","-0.000263166427612305","-0.00119456358730184","0.000668230732077232","1","2","2"
"0.10","Actor","hidden_mixing_finetune","true reliability - shuffled reliability","5","0","0","0","0","5","0"
"0.10","Actor","hidden_mixing_finetune","true reliability - constant reliability","5","0","0","0","0","5","0"
"0.10","Actor","hidden_mixing_finetune","true reliability - zero reliability","5","0","0","0","0","5","0"
"0.10","Actor","hidden_mixing_finetune","combined - feature_only","5","0","0","0","0","5","0"
"0.10","Actor","hidden_mixing_finetune","combined - combined_shuffled","5","0","0","0","0","5","0"
"0.10","Actor","hidden_mixing_finetune","combined - combined_constant","5","0","0","0","0","5","0"
"0.10","Roman-empire","hidden_mixing_frozen","reliability_only - fixed","5","0.00321215391159058","0.0025296257672419","0.00389468205593925","5","0","0"
"0.10","Roman-empire","hidden_mixing_frozen","combined - fixed","5","0.0040593147277832","0.000710658255498942","0.00740797120006746","5","0","0"
"0.10","Roman-empire","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.00335334539413452","0.00251885902778651","0.00418783176048253","5","0","0"
"0.10","Roman-empire","hidden_mixing_frozen","true reliability - constant reliability","5","0.00300034284591675","0.00176066440565912","0.00424002128617437","5","0","0"
"0.10","Roman-empire","hidden_mixing_frozen","true reliability - zero reliability","5","0.00282384157180786","0.00158417621455111","0.00406350692906461","5","0","0"
"0.10","Roman-empire","hidden_mixing_frozen","combined - feature_only","5","0.00289444923400879","-0.000627548649891974","0.00641644711790955","5","0","0"
"0.10","Roman-empire","hidden_mixing_frozen","combined - combined_shuffled","5","0.00310624837875366","-0.000983557808455382","0.00719605456596271","4","0","1"
"0.10","Roman-empire","hidden_mixing_frozen","combined - combined_constant","5","0.00367100238800049","-7.07304480152124E-06","0.0073490778208025","5","0","0"
"0.10","Roman-empire","hidden_mixing_finetune","reliability_only - fixed","5","0.0114013314247131","0.00486808130194493","0.0179345815474813","5","0","0"
"0.10","Roman-empire","hidden_mixing_finetune","combined - fixed","5","0.0118955016136169","0.00848080299855515","0.0153102002286787","5","0","0"
"0.10","Roman-empire","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.0106953620910645","0.00462309405677615","0.0167676301253528","5","0","0"
"0.10","Roman-empire","hidden_mixing_finetune","true reliability - constant reliability","5","0.00963641405105591","0.00298299163136845","0.0162898364707434","5","0","0"
"0.10","Roman-empire","hidden_mixing_finetune","true reliability - zero reliability","5","0.00885986089706421","0.0047239355854741","0.0129957862086543","5","0","0"
"0.10","Roman-empire","hidden_mixing_finetune","combined - feature_only","5","0.0107306480407715","0.00763770458923033","0.0138235914923126","5","0","0"
"0.10","Roman-empire","hidden_mixing_finetune","combined - combined_shuffled","5","0.0108365535736084","0.00822240785918223","0.0134506992880346","5","0","0"
"0.10","Roman-empire","hidden_mixing_finetune","combined - combined_constant","5","0.00836567878723144","0.00626029787493398","0.0104710596995289","5","0","0"
"0.10","Amazon-ratings","hidden_mixing_frozen","reliability_only - fixed","5","-0.000457298755645752","-0.00173501583611248","0.000820418324820972","1","1","3"
"0.10","Amazon-ratings","hidden_mixing_frozen","combined - fixed","5","-0.000718605518341064","-0.00211327223438497","0.000676061197702841","1","1","3"
"0.10","Amazon-ratings","hidden_mixing_frozen","true reliability - shuffled reliability","5","-0.00026131272315979","-0.000790125612420253","0.000267500166100673","0","3","2"
"0.10","Amazon-ratings","hidden_mixing_frozen","true reliability - constant reliability","5","-0.000489956140518188","-0.00143023716532507","0.000450324884288692","1","2","2"
"0.10","Amazon-ratings","hidden_mixing_frozen","true reliability - zero reliability","5","-0.000489956140518188","-0.00143023716532507","0.000450324884288692","1","2","2"
"0.10","Amazon-ratings","hidden_mixing_frozen","combined - feature_only","5","-0.000195980072021484","-0.00207326825547239","0.00168130811142942","2","1","2"
"0.10","Amazon-ratings","hidden_mixing_frozen","combined - combined_shuffled","5","-0.000620615482330322","-0.00206454087396048","0.000823309909299835","2","1","2"
"0.10","Amazon-ratings","hidden_mixing_frozen","combined - combined_constant","5","0.00016331672668457","-0.00150275271858971","0.00182938617195885","2","1","2"
"0.10","Amazon-ratings","hidden_mixing_finetune","reliability_only - fixed","5","-0.00235178470611572","-0.0162797107921839","0.0115761413799524","3","0","2"
"0.10","Amazon-ratings","hidden_mixing_finetune","combined - fixed","5","0.000522619485855103","-0.0067599365382368","0.00780517550994701","3","0","2"
"0.10","Amazon-ratings","hidden_mixing_finetune","true reliability - shuffled reliability","5","-0.000130647420883179","-0.00341741219362912","0.00315611735186276","2","2","1"
"0.10","Amazon-ratings","hidden_mixing_finetune","true reliability - constant reliability","5","5.96046447753906E-09","-0.00365859411678598","0.00365860603771493","1","2","2"
"0.10","Amazon-ratings","hidden_mixing_finetune","true reliability - zero reliability","5","-0.00238445401191711","-0.0095463082011502","0.00477740017731597","2","1","2"
"0.10","Amazon-ratings","hidden_mixing_finetune","combined - feature_only","5","0.00111056566238403","-0.00292840148897767","0.00514953281374574","2","1","2"
"0.10","Amazon-ratings","hidden_mixing_finetune","combined - combined_shuffled","5","0.00359300971031189","-0.00631246226672433","0.0134984816873481","2","1","2"
"0.10","Amazon-ratings","hidden_mixing_finetune","combined - combined_constant","5","0.00271109342575073","-0.00804005180975793","0.0134622386612594","2","1","2"
"0.20","Cora","hidden_mixing_frozen","reliability_only - fixed","5","0","0","0","0","5","0"
"0.20","Cora","hidden_mixing_frozen","combined - fixed","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.20","Cora","hidden_mixing_frozen","true reliability - shuffled reliability","5","0","0","0","0","5","0"
"0.20","Cora","hidden_mixing_frozen","true reliability - constant reliability","5","0","0","0","0","5","0"
"0.20","Cora","hidden_mixing_frozen","true reliability - zero reliability","5","0","0","0","0","5","0"
"0.20","Cora","hidden_mixing_frozen","combined - feature_only","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.20","Cora","hidden_mixing_frozen","combined - combined_shuffled","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.20","Cora","hidden_mixing_frozen","combined - combined_constant","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.20","Cora","hidden_mixing_finetune","reliability_only - fixed","5","-0.00480000972747803","-0.0284471229820129","0.0188471035270568","2","0","3"
"0.20","Cora","hidden_mixing_finetune","combined - fixed","5","-0.000400018692016602","-0.0309484854477724","0.0301484480637392","2","0","3"
"0.20","Cora","hidden_mixing_finetune","true reliability - shuffled reliability","5","-0.00139999389648438","-0.00463784841800109","0.00183786062503234","0","3","2"
"0.20","Cora","hidden_mixing_finetune","true reliability - constant reliability","5","-0.00200001001358032","-0.00688844422078104","0.0028884241936204","0","3","2"
"0.20","Cora","hidden_mixing_finetune","true reliability - zero reliability","5","0.000199997425079346","-0.00116015982452674","0.00156015467468543","1","3","1"
"0.20","Cora","hidden_mixing_finetune","combined - feature_only","5","0.00459998846054077","-0.00613878364547066","0.0153387605665522","3","2","0"
"0.20","Cora","hidden_mixing_finetune","combined - combined_shuffled","5","0.00479999780654907","-0.00852693260840427","0.0181269282215024","1","4","0"
"0.20","Cora","hidden_mixing_finetune","combined - combined_constant","5","0.00499998331069946","-0.00958625303101048","0.0195862196524094","1","3","1"
"0.20","Citeseer","hidden_mixing_frozen","reliability_only - fixed","5","-0.000399994850158691","-0.00151055859398612","0.000710568893668734","0","4","1"
"0.20","Citeseer","hidden_mixing_frozen","combined - fixed","5","0","0","0","0","5","0"
"0.20","Citeseer","hidden_mixing_frozen","true reliability - shuffled reliability","5","1.19209289550781E-08","-0.000877991974741808","0.000878015816599718","1","3","1"
"0.20","Citeseer","hidden_mixing_frozen","true reliability - constant reliability","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.20","Citeseer","hidden_mixing_frozen","true reliability - zero reliability","5","-0.000399994850158691","-0.00108007347496173","0.00028008377464435","0","3","2"
"0.20","Citeseer","hidden_mixing_frozen","combined - feature_only","5","0","0","0","0","5","0"
"0.20","Citeseer","hidden_mixing_frozen","combined - combined_shuffled","5","0","0","0","0","5","0"
"0.20","Citeseer","hidden_mixing_frozen","combined - combined_constant","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.20","Citeseer","hidden_mixing_finetune","reliability_only - fixed","5","-0.000600004196166992","-0.0159233666804705","0.0147233582881365","1","2","2"
"0.20","Citeseer","hidden_mixing_finetune","combined - fixed","5","-0.00380001068115234","-0.0109544198955916","0.00335439853328687","0","3","2"
"0.20","Citeseer","hidden_mixing_finetune","true reliability - shuffled reliability","5","-0.000399994850158691","-0.00571163061062112","0.00491164091030374","1","3","1"
"0.20","Citeseer","hidden_mixing_finetune","true reliability - constant reliability","5","0.000400006771087646","-0.00317717600060242","0.00397718954277771","1","3","1"
"0.20","Citeseer","hidden_mixing_finetune","true reliability - zero reliability","5","-0.000599992275238037","-0.00171055601906546","0.000510571468589389","0","3","2"
"0.20","Citeseer","hidden_mixing_finetune","combined - feature_only","5","-0.000200009346008301","-0.00075532431572686","0.000355305623710259","0","4","1"
"0.20","Citeseer","hidden_mixing_finetune","combined - combined_shuffled","5","-0.000800001621246338","-0.00302116220670604","0.00142115896421336","0","4","1"
"0.20","Citeseer","hidden_mixing_finetune","combined - combined_constant","5","0.000399994850158691","-0.000710568893668734","0.00151055859398612","1","4","0"
"0.20","Pubmed","hidden_mixing_frozen","reliability_only - fixed","5","0","0","0","0","5","0"
"0.20","Pubmed","hidden_mixing_frozen","combined - fixed","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.20","Pubmed","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.000600004196166992","-0.00182044563961419","0.00302045403194818","1","3","1"
"0.20","Pubmed","hidden_mixing_frozen","true reliability - constant reliability","5","0","0","0","0","5","0"
"0.20","Pubmed","hidden_mixing_frozen","true reliability - zero reliability","5","0","0","0","0","5","0"
"0.20","Pubmed","hidden_mixing_frozen","combined - feature_only","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.20","Pubmed","hidden_mixing_frozen","combined - combined_shuffled","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.20","Pubmed","hidden_mixing_frozen","combined - combined_constant","5","-0.000199997425079346","-0.000755279296993059","0.000355284446834367","0","4","1"
"0.20","Pubmed","hidden_mixing_finetune","reliability_only - fixed","5","-0.00399999618530273","-0.0137768739987272","0.0057768816281217","0","3","2"
"0.20","Pubmed","hidden_mixing_finetune","combined - fixed","5","-0.00579999685287476","-0.01612896840233","0.00452897469658045","0","3","2"
"0.20","Pubmed","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.00160000324249268","-0.00284231792842672","0.00604232441341207","1","4","0"
"0.20","Pubmed","hidden_mixing_finetune","true reliability - constant reliability","5","0.00160000324249268","-0.00284231792842672","0.00604232441341207","1","4","0"
"0.20","Pubmed","hidden_mixing_finetune","true reliability - zero reliability","5","0.00180000066757202","-0.00319760237526109","0.00679760371040513","1","4","0"
"0.20","Pubmed","hidden_mixing_finetune","combined - feature_only","5","0.000600004196166992","-0.00106587451737899","0.00226588290971298","1","4","0"
"0.20","Pubmed","hidden_mixing_finetune","combined - combined_shuffled","5","0","0","0","0","5","0"
"0.20","Pubmed","hidden_mixing_finetune","combined - combined_constant","5","-0.00260000228881836","-0.00981876591711116","0.00461876133947445","0","4","1"
"0.20","Chameleon","hidden_mixing_frozen","reliability_only - fixed","5","0.00219298601150513","-0.00550867550159927","0.00989464752460953","1","3","1"
"0.20","Chameleon","hidden_mixing_frozen","combined - fixed","5","0.0013157844543457","-0.00464987156609978","0.00728144047479119","2","2","1"
"0.20","Chameleon","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.00482455492019653","-0.00195553171210909","0.0116046415525022","3","2","0"
"0.20","Chameleon","hidden_mixing_frozen","true reliability - constant reliability","5","0.0030701756477356","-0.00403040790712294","0.0101707592025941","2","3","0"
"0.20","Chameleon","hidden_mixing_frozen","true reliability - zero reliability","5","0.0030701756477356","-0.00403040790712294","0.0101707592025941","2","3","0"
"0.20","Chameleon","hidden_mixing_frozen","combined - feature_only","5","0.00263156890869141","-0.00223936883499324","0.00750250665237605","2","3","0"
"0.20","Chameleon","hidden_mixing_frozen","combined - combined_shuffled","5","0.00307016372680664","-0.00148618132048677","0.00762650877410005","3","2","0"
"0.20","Chameleon","hidden_mixing_frozen","combined - combined_constant","5","0.00219297409057617","-0.00252329109984977","0.00690923928100211","2","3","0"
"0.20","Chameleon","hidden_mixing_finetune","reliability_only - fixed","5","-0.00219297409057617","-0.0166014511979764","0.012215503016824","2","2","1"
"0.20","Chameleon","hidden_mixing_finetune","combined - fixed","5","-0.000877201557159424","-0.0187949521451478","0.017040549030829","2","2","1"
"0.20","Chameleon","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.00219299793243408","-0.00419288688071332","0.00857888274558149","2","2","1"
"0.20","Chameleon","hidden_mixing_finetune","true reliability - constant reliability","5","0.00263159275054932","-0.00327162467020837","0.008534810171307","2","3","0"
"0.20","Chameleon","hidden_mixing_finetune","true reliability - zero reliability","5","1.19209289550781E-08","-0.00192542144665555","0.00192544528851346","1","3","1"
"0.20","Chameleon","hidden_mixing_finetune","combined - feature_only","5","0.00350877046585083","-0.00623313811932331","0.013250679051025","1","4","0"
"0.20","Chameleon","hidden_mixing_finetune","combined - combined_shuffled","5","0.0013157844543457","-0.00111968441749662","0.00375125332618803","2","3","0"
"0.20","Chameleon","hidden_mixing_finetune","combined - combined_constant","5","0.000438594818115234","-0.000779139617805927","0.0016563292540364","1","4","0"
"0.20","Squirrel","hidden_mixing_frozen","reliability_only - fixed","5","-0.00172910094261169","-0.00417352214474117","0.000715320259517776","0","2","3"
"0.20","Squirrel","hidden_mixing_frozen","combined - fixed","5","-0.000576364994049072","-0.00421379634985611","0.00306106636175796","2","1","2"
"0.20","Squirrel","hidden_mixing_frozen","true reliability - shuffled reliability","5","-0.00307396650314331","-0.00638375001609932","0.000235817009812696","0","1","4"
"0.20","Squirrel","hidden_mixing_frozen","true reliability - constant reliability","5","-0.00268972516059875","-0.00589024565428792","0.000510795333090406","0","2","3"
"0.20","Squirrel","hidden_mixing_frozen","true reliability - zero reliability","5","-0.0021133542060852","-0.00552890786372796","0.00130219945155755","1","1","3"
"0.20","Squirrel","hidden_mixing_frozen","combined - feature_only","5","-0.000192123651504517","-0.00248645314316829","0.00210220584015926","1","1","3"
"0.20","Squirrel","hidden_mixing_frozen","combined - combined_shuffled","5","-0.000960612297058105","-0.00453890453253822","0.00261767993842201","2","0","3"
"0.20","Squirrel","hidden_mixing_frozen","combined - combined_constant","5","-0.000192123651504517","-0.00196128020698818","0.00157703290397914","1","2","2"
"0.20","Squirrel","hidden_mixing_finetune","reliability_only - fixed","5","0.000384241342544556","-0.00910551232851856","0.00987399501360767","1","2","2"
"0.20","Squirrel","hidden_mixing_finetune","combined - fixed","5","0.00115272998809814","-0.00821632135017431","0.0105217813263706","2","2","1"
"0.20","Squirrel","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.000384247303009033","-0.00142467054413364","0.00219316515015171","1","3","1"
"0.20","Squirrel","hidden_mixing_finetune","true reliability - constant reliability","5","-0.00115273594856262","-0.0037385728641623","0.00143310096703706","0","3","2"
"0.20","Squirrel","hidden_mixing_finetune","true reliability - zero reliability","5","0.000384247303009033","-0.00142467054413364","0.00219316515015171","1","3","1"
"0.20","Squirrel","hidden_mixing_finetune","combined - feature_only","5","-0.000768494606018066","-0.00847081356464448","0.00693382435260834","1","3","1"
"0.20","Squirrel","hidden_mixing_finetune","combined - combined_shuffled","5","-0.000192129611968994","-0.00149872818708487","0.00111446896314689","1","3","1"
"0.20","Squirrel","hidden_mixing_finetune","combined - combined_constant","5","0.000384241342544556","-0.00142466064458775","0.00219314332967686","1","3","1"
"0.20","Actor","hidden_mixing_frozen","reliability_only - fixed","5","-0.000526320934295654","-0.00354988827005481","0.00249724640146351","2","1","2"
"0.20","Actor","hidden_mixing_frozen","combined - fixed","5","-0.000657898187637329","-0.00342808439151457","0.00211228801623991","2","2","1"
"0.20","Actor","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.00171053409576416","-0.000780632261648256","0.00420170045317658","3","1","1"
"0.20","Actor","hidden_mixing_frozen","true reliability - constant reliability","5","0.000526314973831177","-0.000157132802867421","0.00120976275052977","3","2","0"
"0.20","Actor","hidden_mixing_frozen","true reliability - zero reliability","5","0.000526314973831177","-0.000157132802867421","0.00120976275052977","3","2","0"
"0.20","Actor","hidden_mixing_frozen","combined - feature_only","5","0.00171052813529968","-0.000256793423654764","0.00367784969425413","4","1","0"
"0.20","Actor","hidden_mixing_frozen","combined - combined_shuffled","5","0.00144736766815186","-1.39179990751984E-05","0.00290865333537891","4","1","0"
"0.20","Actor","hidden_mixing_frozen","combined - combined_constant","5","0.00131579041481018","-0.00145439578906706","0.00408597661868742","2","2","1"
"0.20","Actor","hidden_mixing_finetune","reliability_only - fixed","5","-0.000263166427612305","-0.00119456358730184","0.000668230732077232","1","2","2"
"0.20","Actor","hidden_mixing_finetune","combined - fixed","5","-0.000263166427612305","-0.00119456358730184","0.000668230732077232","1","2","2"
"0.20","Actor","hidden_mixing_finetune","true reliability - shuffled reliability","5","0","0","0","0","5","0"
"0.20","Actor","hidden_mixing_finetune","true reliability - constant reliability","5","0","0","0","0","5","0"
"0.20","Actor","hidden_mixing_finetune","true reliability - zero reliability","5","0","0","0","0","5","0"
"0.20","Actor","hidden_mixing_finetune","combined - feature_only","5","0","0","0","0","5","0"
"0.20","Actor","hidden_mixing_finetune","combined - combined_shuffled","5","0","0","0","0","5","0"
"0.20","Actor","hidden_mixing_finetune","combined - combined_constant","5","0","0","0","0","5","0"
"0.20","Roman-empire","hidden_mixing_frozen","reliability_only - fixed","5","0.00352983474731445","0.00215254054876889","0.00490712894586002","5","0","0"
"0.20","Roman-empire","hidden_mixing_frozen","combined - fixed","5","0.00328274965286255","0.000771670299822538","0.00579382900590256","4","0","1"
"0.20","Roman-empire","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.00338864326477051","0.000689511160693634","0.00608777536884738","5","0","0"
"0.20","Roman-empire","hidden_mixing_frozen","true reliability - constant reliability","5","0.00349452495574951","0.00153199425284924","0.00545705565864979","5","0","0"
"0.20","Roman-empire","hidden_mixing_frozen","true reliability - zero reliability","5","0.00356512069702148","0.00151873779656894","0.00561150359747403","5","0","0"
"0.20","Roman-empire","hidden_mixing_frozen","combined - feature_only","5","0.00236498117446899","0.000137654921332247","0.00459230742760574","4","0","1"
"0.20","Roman-empire","hidden_mixing_frozen","combined - combined_shuffled","5","0.00321214199066162","-0.000472480085237575","0.00689676406656082","5","0","0"
"0.20","Roman-empire","hidden_mixing_frozen","combined - combined_constant","5","0.00261207818984985","0.000316818671031479","0.00490733770866823","4","0","1"
"0.20","Roman-empire","hidden_mixing_finetune","reliability_only - fixed","5","0.00945992469787598","0.00246689145429439","0.0164529579414576","5","0","0"
"0.20","Roman-empire","hidden_mixing_finetune","combined - fixed","5","0.0107659697532654","0.00282073478775627","0.0187112047187745","5","0","0"
"0.20","Roman-empire","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.00900105237960815","0.00350061259038631","0.01450149216883","5","0","0"
"0.20","Roman-empire","hidden_mixing_finetune","true reliability - constant reliability","5","0.00984821319580078","0.00500867831119255","0.014687748080409","5","0","0"
"0.20","Roman-empire","hidden_mixing_finetune","true reliability - zero reliability","5","0.00970702171325684","0.00346048892553826","0.0159535545009754","5","0","0"
"0.20","Roman-empire","hidden_mixing_finetune","combined - feature_only","5","0.0120014190673828","0.00622837641535888","0.0177744617194067","5","0","0"
"0.20","Roman-empire","hidden_mixing_finetune","combined - combined_shuffled","5","0.00981292724609375","0.00583626720073878","0.0137895872914487","5","0","0"
"0.20","Roman-empire","hidden_mixing_finetune","combined - combined_constant","5","0.00998941659927368","0.0051742743984937","0.0148045588000537","5","0","0"
"0.20","Amazon-ratings","hidden_mixing_frozen","reliability_only - fixed","5","-0.000653272867202759","-0.00159355987738184","0.000287014142976327","0","2","3"
"0.20","Amazon-ratings","hidden_mixing_frozen","combined - fixed","5","-0.00160052180290222","-0.00440089009555194","0.0011998464897475","0","1","4"
"0.20","Amazon-ratings","hidden_mixing_frozen","true reliability - shuffled reliability","5","-0.000391960144042969","-0.00101036975453449","0.000226449466448552","0","2","3"
"0.20","Amazon-ratings","hidden_mixing_frozen","true reliability - constant reliability","5","-0.000587940216064453","-0.00113583376376027","-4.00466683686344E-05","0","1","4"
"0.20","Amazon-ratings","hidden_mixing_frozen","true reliability - zero reliability","5","-0.000620603561401367","-0.0011047449190785","-0.000136462203724233","0","1","4"
"0.20","Amazon-ratings","hidden_mixing_frozen","combined - feature_only","5","-0.000195974111557007","-0.000999476844919846","0.000607528621805832","2","1","2"
"0.20","Amazon-ratings","hidden_mixing_frozen","combined - combined_shuffled","5","-0.00120855569839478","-0.00462476872749733","0.00220765733070778","1","2","2"
"0.20","Amazon-ratings","hidden_mixing_frozen","combined - combined_constant","5","-0.000130659341812134","-0.000570299316575005","0.000308980632950737","1","1","3"
"0.20","Amazon-ratings","hidden_mixing_finetune","reliability_only - fixed","5","-0.00264576077461243","-0.0117671167096801","0.00647559516045523","2","1","2"
"0.20","Amazon-ratings","hidden_mixing_finetune","combined - fixed","5","-0.00114323496818542","-0.0127950971621726","0.0105086272258018","3","0","2"
"0.20","Amazon-ratings","hidden_mixing_finetune","true reliability - shuffled reliability","5","-0.000685936212539673","-0.00389356026009866","0.00252168783501931","2","2","1"
"0.20","Amazon-ratings","hidden_mixing_finetune","true reliability - constant reliability","5","-6.53266906738281E-05","-0.000372864611510916","0.00024221123016326","1","3","1"
"0.20","Amazon-ratings","hidden_mixing_finetune","true reliability - zero reliability","5","0.000195986032485962","-0.00394602377466842","0.00433799583964034","1","2","2"
"0.20","Amazon-ratings","hidden_mixing_finetune","combined - feature_only","5","0.000326633453369141","-0.00476124705987964","0.00541451396661792","1","2","2"
"0.20","Amazon-ratings","hidden_mixing_finetune","combined - combined_shuffled","5","0.00173117518424988","-0.00169105223623432","0.00515340260473407","2","2","1"
"0.20","Amazon-ratings","hidden_mixing_finetune","combined - combined_constant","5","-6.53326511383057E-05","-0.00378965790682494","0.00365899260454833","2","2","1"
