"strength","dataset","family","comparison","n","delta","low","high","wins","ties","losses"
"0.05","Chameleon","hidden_mixing_frozen","true reliability - constant reliability","5","0.000438594818115234","-0.00183957770553147","0.00271676734176194","2","2","1"
"0.05","Chameleon","hidden_mixing_frozen","true reliability - zero reliability","5","0.000438594818115234","-0.00183957770553147","0.00271676734176194","2","2","1"
"0.05","Chameleon","hidden_mixing_frozen","combined - feature_only","5","0.0013157844543457","-0.000175629550765669","0.00280719845945708","3","2","0"
"0.05","Chameleon","hidden_mixing_frozen","combined - combined_shuffled","5","0.00394736528396606","-0.00283272432059714","0.0107274548885293","3","2","0"
"0.05","Chameleon","hidden_mixing_frozen","combined - combined_constant","5","0.0013157844543457","-0.000175629550765669","0.00280719845945708","3","2","0"
"0.05","Chameleon","hidden_mixing_finetune","reliability_only - fixed","5","-0.00219297409057617","-0.0166014511979764","0.012215503016824","2","2","1"
"0.05","Chameleon","hidden_mixing_finetune","combined - fixed","5","-0.000877201557159424","-0.0187949521451478","0.017040549030829","2","2","1"
"0.05","Chameleon","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.00219299793243408","-0.00419288688071332","0.00857888274558149","2","2","1"
"0.05","Chameleon","hidden_mixing_finetune","true reliability - constant reliability","5","1.19209289550781E-08","-0.00192542144665555","0.00192544528851346","1","3","1"
"0.05","Chameleon","hidden_mixing_finetune","true reliability - zero reliability","5","1.19209289550781E-08","-0.00192542144665555","0.00192544528851346","1","3","1"
"0.05","Chameleon","hidden_mixing_finetune","combined - feature_only","5","0.00350877046585083","-0.00623313811932331","0.013250679051025","1","4","0"
"0.05","Chameleon","hidden_mixing_finetune","combined - combined_shuffled","5","0.0013157844543457","-0.00111968441749662","0.00375125332618803","2","3","0"
"0.05","Chameleon","hidden_mixing_finetune","combined - combined_constant","5","0.000438594818115234","-0.000779139617805927","0.0016563292540364","1","4","0"
"0.05","Squirrel","hidden_mixing_frozen","reliability_only - fixed","5","-0.00134485960006714","-0.00445519414106619","0.00176547494093191","0","3","2"
"0.05","Squirrel","hidden_mixing_frozen","combined - fixed","5","-0.00211334824562073","-0.0053138535694485","0.00108715707820704","0","2","3"
"0.05","Squirrel","hidden_mixing_frozen","true reliability - shuffled reliability","5","-0.00134485960006714","-0.00445519414106619","0.00176547494093191","0","3","2"
"0.05","Squirrel","hidden_mixing_frozen","true reliability - constant reliability","5","-0.000768494606018066","-0.00518331205624682","0.00364632284421069","2","0","3"
"0.05","Squirrel","hidden_mixing_frozen","true reliability - zero reliability","5","-0.00057637095451355","-0.00500727176346254","0.00385452985443544","2","1","2"
"0.05","Squirrel","hidden_mixing_frozen","combined - feature_only","5","-0.00172910690307617","-0.00503888174792053","0.00158066794176819","1","1","3"
"0.05","Squirrel","hidden_mixing_frozen","combined - combined_shuffled","5","-0.00192122459411621","-0.00529485414988038","0.00145240496164796","0","3","2"
"0.05","Squirrel","hidden_mixing_frozen","combined - combined_constant","5","-0.00134485960006714","-0.00467605601516137","0.0019863368150271","1","2","2"
"0.05","Squirrel","hidden_mixing_finetune","reliability_only - fixed","5","-0.000192123651504517","-0.0112017782712718","0.0108175309682628","2","2","1"
"0.05","Squirrel","hidden_mixing_finetune","combined - fixed","5","-0.00172910690307617","-0.0132440488864736","0.00978583508032125","1","2","2"
"0.05","Squirrel","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.00153698325157166","-0.00342410024437812","0.00649806674752143","1","3","1"
"0.05","Squirrel","hidden_mixing_finetune","true reliability - constant reliability","5","0.00153698325157166","-0.00342410024437812","0.00649806674752143","1","3","1"
"0.05","Squirrel","hidden_mixing_finetune","true reliability - zero reliability","5","0","-0.000843412295086131","0.000843412295086131","1","3","1"
"0.05","Squirrel","hidden_mixing_finetune","combined - feature_only","5","-0.0021133542060852","-0.00798096614711965","0.00375425773494924","0","4","1"
"0.05","Squirrel","hidden_mixing_finetune","combined - combined_shuffled","5","-0.000384253263473511","-0.00219316257066282","0.0014246560437158","1","3","1"
"0.05","Squirrel","hidden_mixing_finetune","combined - combined_constant","5","-0.000768494606018066","-0.00232367003609287","0.000786680824056737","0","3","2"
"0.05","Actor","hidden_mixing_frozen","reliability_only - fixed","5","-5.96046447753906E-09","-0.000816888903981884","0.000816876983052929","2","1","2"
"0.05","Actor","hidden_mixing_frozen","combined - fixed","5","-0.00105263590812683","-0.00354379680514829","0.00143852498889463","0","3","2"
"0.05","Actor","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.000526314973831177","-0.00124463864555814","0.00229726859322049","3","1","1"
"0.05","Actor","hidden_mixing_frozen","true reliability - constant reliability","5","-0.000263160467147827","-0.00150202661959651","0.000975705685300854","1","3","1"
"0.05","Actor","hidden_mixing_frozen","true reliability - zero reliability","5","-0.000263160467147827","-0.00150202661959651","0.000975705685300854","1","3","1"
"0.05","Actor","hidden_mixing_frozen","combined - feature_only","5","0.00131579041481018","-0.00151397510881983","0.00414555593844019","2","3","0"
"0.05","Actor","hidden_mixing_frozen","combined - combined_shuffled","5","0.000394737720489502","-0.00341932437161368","0.00420879981259268","1","3","1"
"0.05","Actor","hidden_mixing_frozen","combined - combined_constant","5","-0.00118421316146851","-0.00447211599713855","0.00210368967420154","0","4","1"
"0.05","Actor","hidden_mixing_finetune","reliability_only - fixed","5","-0.000263166427612305","-0.00119456358730184","0.000668230732077232","1","2","2"
"0.05","Actor","hidden_mixing_finetune","combined - fixed","5","-0.000263166427612305","-0.00119456358730184","0.000668230732077232","1","2","2"
"0.05","Actor","hidden_mixing_finetune","true reliability - shuffled reliability","5","0","0","0","0","5","0"
"0.05","Actor","hidden_mixing_finetune","true reliability - constant reliability","5","0","0","0","0","5","0"
"0.05","Actor","hidden_mixing_finetune","true reliability - zero reliability","5","0","0","0","0","5","0"
"0.05","Actor","hidden_mixing_finetune","combined - feature_only","5","0","0","0","0","5","0"
"0.05","Actor","hidden_mixing_finetune","combined - combined_shuffled","5","0","0","0","0","5","0"
"0.05","Actor","hidden_mixing_finetune","combined - combined_constant","5","0","0","0","0","5","0"
"0.05","Roman-empire","hidden_mixing_frozen","reliability_only - fixed","5","0.00130603313446045","-0.000799329289735522","0.00341139555865642","4","0","1"
"0.05","Roman-empire","hidden_mixing_frozen","combined - fixed","5","0.00194141864776611","-1.86540416957119E-05","0.00390149133722794","5","0","0"
"0.05","Roman-empire","hidden_mixing_frozen","true reliability - shuffled reliability","5","0.00148252248764038","-0.00141479273334625","0.00437983770862701","3","0","2"
"0.05","Roman-empire","hidden_mixing_frozen","true reliability - constant reliability","5","0.00151782035827637","-0.000949834220160712","0.00398547493671345","4","0","1"
"0.05","Roman-empire","hidden_mixing_frozen","true reliability - zero reliability","5","0.00155311822891235","-0.000952198825620471","0.00405843528344518","4","0","1"
"0.05","Roman-empire","hidden_mixing_frozen","combined - feature_only","5","0.00190609693527222","0.000191753485875297","0.00362044038466914","5","0","0"
"0.05","Roman-empire","hidden_mixing_frozen","combined - combined_shuffled","5","0.00247089862823486","0.000329358551943917","0.00461243870452581","5","0","0"
"0.05","Roman-empire","hidden_mixing_frozen","combined - combined_constant","5","0.00247088670730591","-0.000190577313097596","0.00513235072770941","5","0","0"
"0.05","Roman-empire","hidden_mixing_finetune","reliability_only - fixed","5","0.00885988473892212","0.00198145382023391","0.0157383156576103","5","0","0"
"0.05","Roman-empire","hidden_mixing_finetune","combined - fixed","5","0.00585951805114746","0.000856505250106334","0.0108625308521886","5","0","0"
"0.05","Roman-empire","hidden_mixing_finetune","true reliability - shuffled reliability","5","0.0102718114852905","0.00562208107954626","0.0149215418910348","5","0","0"
"0.05","Roman-empire","hidden_mixing_finetune","true reliability - constant reliability","5","0.00840100049972534","0.00589951776396471","0.010902483235486","5","0","0"
"0.05","Roman-empire","hidden_mixing_finetune","true reliability - zero reliability","5","0.0073420524597168","0.00458920915911428","0.0100948957603193","5","0","0"
"0.05","Roman-empire","hidden_mixing_finetune","combined - feature_only","5","0.00660077333450317","0.00354215767844912","0.00965938899055722","5","0","0"
"0.05","Roman-empire","hidden_mixing_finetune","combined - combined_shuffled","5","0.00716555118560791","0.00423115577343565","0.0100999465977802","5","0","0"
"0.05","Roman-empire","hidden_mixing_finetune","combined - combined_constant","5","0.00494174957275391","0.00108021736380699","0.00880328178170082","5","0","0"
"0.05","Amazon-ratings","hidden_mixing_frozen","reliability_only - fixed","5","-0.000391966104507446","-0.0018862749345925","0.00110234272557761","2","1","2"
"0.05","Amazon-ratings","hidden_mixing_frozen","combined - fixed","5","-0.000489956140518188","-0.00179631825908517","0.000816405978048794","1","1","3"
"0.05","Amazon-ratings","hidden_mixing_frozen","true reliability - shuffled reliability","5","3.26633453369141E-05","-0.0010817545260114","0.00114708121668523","1","2","2"
"0.05","Amazon-ratings","hidden_mixing_frozen","true reliability - constant reliability","5","-0.000293970108032227","-0.00158768559082092","0.000999745374756467","1","2","2"
"0.05","Amazon-ratings","hidden_mixing_frozen","true reliability - zero reliability","5","-0.000293970108032227","-0.00158768559082092","0.000999745374756467","1","2","2"
"0.05","Amazon-ratings","hidden_mixing_frozen","combined - feature_only","5","-0.000261306762695313","-0.000927724631906852","0.000405111106516227","1","2","2"
"0.05","Amazon-ratings","hidden_mixing_frozen","combined - combined_shuffled","5","-0.000326633453369141","-0.000983730333892259","0.000330463427153978","1","2","2"
"0.05","Amazon-ratings","hidden_mixing_frozen","combined - combined_constant","5","-0.000228643417358398","-0.000925231049875105","0.000467944215158308","2","1","2"
"0.05","Amazon-ratings","hidden_mixing_finetune","reliability_only - fixed","5","-0.00284175276756287","-0.0112232500199961","0.00553974448487034","2","1","2"
"0.05","Amazon-ratings","hidden_mixing_finetune","combined - fixed","5","-0.00111057162284851","-0.0104733061924804","0.00825216294678335","3","0","2"
