dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,reliability_encoder_mode,reliability_component_dim,component_missing_mode,alpha_type,alpha_groups,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,0:0,0,0,191,accuracy,0.8439540863037109,0.8349805474281311,0.8439540863037109,0.8349805474281311,nan,nan,0.7904097001164462,finetuned,0.75,0.8227713704109192,0.8168019652366638,0.8227713704109192,0.8168019652366638,nan,nan,0.7617314794778828,4.76837158203125e-06,247226,151528,95698,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,group,4,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,16.175545930862427,0.7892562747001648,0.036296404898166656,0.671759843826294,0.8491413593292236,nan,0.045345157384872437,0.09914135932922363,0.0434102825820446,0.5534254908561707,0.5683077573776245,0.02795848809182644,0.028736740350723267,7.337172031402588,0.4917348623275757,0.45078834891319275,0.5746976172875802,-0.030245974385621377,0.5346015226374558,-0.028721111279065323,0.27944826357893854
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,1:0,1,0,179,accuracy,0.8483671545982361,0.8466289639472961,0.8483671545982361,0.8466289639472961,nan,nan,0.7985777990009216,finetuned,0.75,0.8247131109237671,0.8243910670280457,0.8247131109237671,0.8243910670280457,nan,nan,0.7712128520525384,5.7220458984375e-06,247226,151528,95698,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,group,4,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,17.710432767868042,0.7713573575019836,0.032082024961709976,0.683578610420227,0.8488666415214539,nan,0.031137851998209953,0.09886664152145386,0.03503242880105972,0.42966100573539734,0.48263415694236755,0.02149093523621559,0.0220553670078516,6.913756370544434,0.4633156955242157,0.4353007376194,0.7472942841842386,-0.10101433387182507,0.6071150212073259,0.17825042887606918,0.46472865346679043
Roman-empire,iterative_relation_finetune_combined,iterative_relation_finetune,combined,undirected,2:0,2,0,191,accuracy,0.8418357968330383,0.8376279473304749,0.8418357968330383,0.8376279473304749,nan,nan,0.7974515725704332,finetuned,0.75,0.8215357065200806,0.8173314332962036,0.8215357065200806,0.8173314332962036,nan,nan,0.7701882662561065,4.76837158203125e-06,247226,151528,95698,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,group,4,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,17.471646308898926,0.8027956485748291,0.03646915778517723,0.6783774495124817,0.8476272225379944,nan,0.057214219123125076,0.09762722253799438,0.07275931537151337,0.8705747723579407,0.6429365873336792,0.04354703798890114,0.044801853597164154,7.455216407775879,0.4693753719329834,0.45153382420539856,0.4748904270017787,-0.19876317397201826,0.43714870047955284,0.24139029056431263,0.3482066092805883
