model,graph_type,seed,best_val_acc,test_acc_at_best_val,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
linear_gt,heterophily,0,0.8388888835906982,0.817460298538208,-5.0,nan,7.263765335083008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,1,0.855555534362793,0.8380952477455139,-5.0,nan,4.465039968490601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,2,0.8777777552604675,0.7952380776405334,-5.0,nan,5.54807710647583,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,3,0.8444444537162781,0.8238095045089722,-5.0,nan,4.96221399307251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,4,0.7888888716697693,0.8015872836112976,-5.0,nan,5.20584511756897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,5,0.7777777910232544,0.7428571581840515,-5.0,nan,3.3529715538024902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,6,0.8333333134651184,0.8365079164505005,-5.0,nan,7.017677545547485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,7,0.8444444537162781,0.858730137348175,-5.0,nan,6.745886564254761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,8,0.8833333253860474,0.855555534362793,-5.0,nan,6.066943883895874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,9,0.8444444537162781,0.8365079164505005,-5.0,nan,7.675990343093872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
gate_gt,heterophily,0,0.8722222447395325,0.8333333134651184,-5.0,nan,4.055234909057617,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.46497647466466197,-0.15255947318092752,-0.267893720651136,-0.3741793956938338,-0.23621599742544463,-0.06594430124498578
