graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,gate_local_similarity_corr_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gcn,5,0.7882539629936218,0.017918933706279134,0.8344444751739502,nan,6.557063913345337,-0.03111112117767334
heterophily,linear_gt,5,0.8193650841712952,0.033331825614029,0.8600000143051147,nan,26.92814998626709,0.0
heterophily,mlp,5,0.6492063522338867,0.028019347218807018,0.6755555748939515,nan,4.149813652038574,-0.1701587319374085
heterophily,reliability_gt,5,0.8377778053283691,0.023444827622084465,0.8688889026641846,0.054679287234577906,24.644143533706664,0.01841272115707393
homophily,gcn,5,0.9965079545974731,0.002332845612842846,0.997777795791626,nan,3.6128438472747804,0.07619047164916992
homophily,linear_gt,5,0.9203174829483032,0.02474153939136795,0.9366666913032532,nan,1.5488953590393066,0.0
homophily,mlp,5,0.6492063522338867,0.028019347218807018,0.6755555748939515,nan,1.679768180847168,-0.2711111307144165
homophily,reliability_gt,5,0.959682559967041,0.01620603256897818,0.9688889145851135,0.0750691115381497,4.257720708847046,0.039365077018737815
noisy,gcn,5,0.794603168964386,0.02021802284728769,0.795555579662323,nan,0.36916375160217285,0.2038095116615295
noisy,linear_gt,5,0.5907936573028565,0.047887061191323084,0.6333333492279053,nan,4.11710844039917,0.0
noisy,mlp,5,0.5622222423553467,0.024883695171521225,0.597777783870697,nan,0.12820801734924317,-0.02857141494750981
noisy,reliability_gt,5,0.5990476250648499,0.056420471885730586,0.6233333468437194,-0.008459744787234373,1.3482337951660157,0.008253967761993386
