model,graph_type,seed,best_val_acc,test_acc_at_best_val,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
linear_gt,heterophily,0,0.3055555522441864,0.29629629850387573,0.03409266471862793,nan,nan,nan,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,0,0.4166666567325592,0.35185185074806213,0.05225944519042969,0.006695436779409647,0.0066938274540007114,0.0066970461048185825,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,0,0.4166666567325592,0.35185185074806213,0.053725242614746094,0.006683436222374439,0.006682609673589468,0.0066842627711594105,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,0,0.4166666567325592,0.35185185074806213,0.036391258239746094,0.0066840979270637035,0.00668270792812109,0.006685487926006317,nan,nan,nan,nan,nan,nan
gate_gt,heterophily,0,0.4722222089767456,0.37037035822868347,0.053069353103637695,nan,nan,nan,0.39876743595737185,0.16994694791642098,0.44071852523430666,0.3848525236130623,0.46811109829461106,-0.07670336937795373
reliability_gt,heterophily,0,0.2777777910232544,0.3055555522441864,0.06250286102294922,0.006692860275506973,0.006692860275506973,0.006692860275506973,-0.23921229807715533,-0.07643085253391727,-0.3014844347746991,0.08647050128116907,-0.21617046986648594,-0.017038386605570995
