graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,1,0.37037035822868347,0.0,0.4722222089767456,nan,0.39876743595737185,0.16994694791642098,0.44071852523430666,0.3848525236130623,0.46811109829461106,-0.07670336937795373,0.053069353103637695,0.07407405972480774
heterophily,k_only_gt,1,0.35185185074806213,0.0,0.4166666567325592,0.006683436222374439,nan,nan,nan,nan,nan,nan,0.053725242614746094,0.0555555522441864
heterophily,linear_gt,1,0.29629629850387573,0.0,0.3055555522441864,nan,nan,nan,nan,nan,nan,nan,0.03409266471862793,0.0
heterophily,q_only_gt,1,0.35185185074806213,0.0,0.4166666567325592,0.006695436779409647,nan,nan,nan,nan,nan,nan,0.05225944519042969,0.0555555522441864
heterophily,qk_gt,1,0.35185185074806213,0.0,0.4166666567325592,0.0066840979270637035,nan,nan,nan,nan,nan,nan,0.036391258239746094,0.0555555522441864
heterophily,reliability_gt,1,0.3055555522441864,0.0,0.2777777910232544,0.006692860275506973,-0.23921229807715533,-0.07643085253391727,-0.3014844347746991,0.08647050128116907,-0.21617046986648594,-0.017038386605570995,0.06250286102294922,0.009259253740310669
