alpha_mean,bucket,control_mode,count,dataset,degree_mean,family,fraction_of_test,global_preference_rate,local_advantage_mean,local_preference_rate,local_similarity_mean,neighbor_variance_mean,rwse_mean,seed,split,test_accuracy
0.75,low,combined,6123,Amazon-ratings,0.001702866400592029,iterative_relation_finetune,1.0,0.1818181872367859,0.07027772814035416,0.8181818127632141,0.5250644087791443,0.003907768987119198,0.004141633398830891,0,0,0.4775436818599701
nan,mid,combined,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,0,nan
0.75,high,combined,6123,Amazon-ratings,0.001702866400592029,iterative_relation_finetune,1.0,0.1818181872367859,0.07027772814035416,0.8181818127632141,0.5250644087791443,0.003907768987119198,0.004141633398830891,0,0,0.4775436818599701
0.7943239808082581,low,combined,1531,Amazon-ratings,0.46998900175094604,iterative_relation_finetune,0.25004082965866403,0.3333333432674408,0.07769262790679932,0.6666666865348816,0.5007598400115967,0.0957835242152214,0.543099045753479,0,1,0.4539516568183899
0.7997066378593445,mid,combined,3061,Amazon-ratings,0.022592375054955482,iterative_relation_finetune,0.4999183406826719,0.0625,0.054144445806741714,0.9375,0.5338124632835388,-0.08435064554214478,0.003602503566071391,0,1,0.4841555058956146
0.803213894367218,high,combined,1531,Amazon-ratings,-0.46828052401542664,iterative_relation_finetune,0.25004082965866403,0.375,0.0966220498085022,0.625,0.5315934419631958,0.062203750014305115,-0.5435961484909058,0,1,0.5003265738487244
0.75,low,combined,6123,Amazon-ratings,0.003959277179092169,iterative_relation_finetune,1.0,0.3214285671710968,0.0704444870352745,0.6785714030265808,0.5251477956771851,0.006452081725001335,0.008195827715098858,0,2,0.47084763646125793
nan,mid,combined,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,2,nan
0.75,high,combined,6123,Amazon-ratings,0.003959277179092169,iterative_relation_finetune,1.0,0.3214285671710968,0.0704444870352745,0.6785714030265808,0.5251477956771851,0.006452081725001335,0.008195827715098858,0,2,0.47084763646125793
0.5,low,combined,6123,Amazon-ratings,0.016446534544229507,iterative_relation_finetune,1.0,0.5185185074806213,0.07047181576490402,0.48148149251937866,0.5273684859275818,-0.006983085069805384,0.013893578201532364,0,3,0.4484729766845703
nan,mid,combined,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,3,nan
0.5,high,combined,6123,Amazon-ratings,0.016446534544229507,iterative_relation_finetune,1.0,0.5185185074806213,0.07047181576490402,0.48148149251937866,0.5273684859275818,-0.006983085069805384,0.013893578201532364,0,3,0.4484729766845703
1.0,low,combined,6123,Amazon-ratings,-0.014064298942685127,iterative_relation_finetune,1.0,0.2647058963775635,0.07041243463754654,0.7352941036224365,0.5280535221099854,-0.01203747745603323,-0.004690318834036589,0,4,0.4716642200946808
nan,mid,combined,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,4,nan
1.0,high,combined,6123,Amazon-ratings,-0.014064298942685127,iterative_relation_finetune,1.0,0.2647058963775635,0.07041243463754654,0.7352941036224365,0.5280535221099854,-0.01203747745603323,-0.004690318834036589,0,4,0.4716642200946808
0.7888124585151672,low,combined,1531,Amazon-ratings,0.8748518824577332,iterative_relation_finetune,0.25004082965866403,0.48739495873451233,0.050270818173885345,0.5126050710678101,0.5059154033660889,0.1585361212491989,0.40253862738609314,0,5,0.46505552530288696
0.7935145497322083,mid,combined,3061,Amazon-ratings,-0.16891193389892578,iterative_relation_finetune,0.4999183406826719,0.5906040072441101,0.04452327638864517,0.4093959629535675,0.5399874448776245,-0.1169992983341217,0.10195645689964294,0,5,0.46945443749427795
0.7989726066589355,high,combined,1531,Amazon-ratings,-0.5560441613197327,iterative_relation_finetune,0.25004082965866403,0.46107783913612366,0.11658671498298645,0.538922131061554,0.515491783618927,0.055120546370744705,-0.6208154559135437,0,5,0.5336381196975708
1.0,low,combined,6123,Amazon-ratings,-0.007341407705098391,iterative_relation_finetune,1.0,0.20000000298023224,0.0701877623796463,0.800000011920929,0.527580738067627,-0.0035617712419480085,-0.0031465881038457155,0,6,0.46692797541618347
nan,mid,combined,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,6,nan
1.0,high,combined,6123,Amazon-ratings,-0.007341407705098391,iterative_relation_finetune,1.0,0.20000000298023224,0.0701877623796463,0.800000011920929,0.527580738067627,-0.0035617712419480085,-0.0031465881038457155,0,6,0.46692797541618347
1.0,low,combined,6123,Amazon-ratings,0.009832475334405899,iterative_relation_finetune,1.0,0.3333333432674408,0.07032939046621323,0.6666666865348816,0.5263234972953796,0.00396599480882287,-0.0063969288021326065,0,7,0.4634982943534851
nan,mid,combined,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,7,nan
1.0,high,combined,6123,Amazon-ratings,0.009832475334405899,iterative_relation_finetune,1.0,0.3333333432674408,0.07032939046621323,0.6666666865348816,0.5263234972953796,0.00396599480882287,-0.0063969288021326065,0,7,0.4634982943534851
0.7866274118423462,low,combined,1531,Amazon-ratings,0.10825223475694656,iterative_relation_finetune,0.25004082965866403,0.46979865431785583,0.04970121011137962,0.5302013158798218,0.6172595620155334,-0.29056450724601746,0.6209999322891235,0,8,0.41410842537879944
0.7915574312210083,mid,combined,3061,Amazon-ratings,0.14647547900676727,iterative_relation_finetune,0.4999183406826719,0.4767025113105774,0.04823935776948929,0.5232974886894226,0.538329541683197,0.002385122934356332,-0.04619873687624931,0,8,0.47108787298202515
0.7954292893409729,high,combined,1531,Amazon-ratings,-0.3766360580921173,iterative_relation_finetune,0.25004082965866403,0.5897436141967773,0.10903383791446686,0.41025641560554504,0.4045138955116272,0.36171838641166687,-0.5108314752578735,0,8,0.5767472386360168
0.7943379282951355,low,combined,1531,Amazon-ratings,-0.2922806739807129,iterative_relation_finetune,0.25004082965866403,0.5,0.04955032467842102,0.5,0.5874670743942261,-0.2823752760887146,0.3427852392196655,0,9,0.4160679280757904
0.7973832488059998,mid,combined,3061,Amazon-ratings,0.15263426303863525,iterative_relation_finetune,0.4999183406826719,0.23076923191547394,0.07305654883384705,0.7692307829856873,0.5329996943473816,0.02459721826016903,0.028811100870370865,0,9,0.46978113055229187
0.7997978925704956,high,combined,1531,Amazon-ratings,-0.005316800903528929,iterative_relation_finetune,0.25004082965866403,0.3333333432674408,0.0850425660610199,0.6666666865348816,0.45393282175064087,0.22620609402656555,-0.4169524908065796,0,9,0.5610712170600891
0.75,low,fixed,6123,Amazon-ratings,0.001702866400592029,iterative_relation_finetune,1.0,0.1818181872367859,0.07027772814035416,0.8181818127632141,0.5250644087791443,0.003907768987119198,0.004141633398830891,0,0,0.4775436818599701
nan,mid,fixed,0,Amazon-ratings,nan,iterative_relation_finetune,0.0,nan,nan,nan,nan,nan,nan,0,0,nan
0.75,high,fixed,6123,Amazon-ratings,0.001702866400592029,iterative_relation_finetune,1.0,0.1818181872367859,0.07027772814035416,0.8181818127632141,0.5250644087791443,0.003907768987119198,0.004141633398830891,0,0,0.4775436818599701
