model,graph_type,seed,best_val_acc,test_acc_at_best_val,gate_local_similarity_corr,elapsed_sec
linear_gt,heterophily,0,0.8388888835906982,0.817460298538208,nan,5.088042259216309
linear_gt,heterophily,1,0.855555534362793,0.8380952477455139,nan,2.9176619052886963
linear_gt,heterophily,2,0.8777777552604675,0.7952380776405334,nan,4.203226089477539
linear_gt,heterophily,3,0.8444444537162781,0.8238095045089722,nan,3.699113368988037
linear_gt,heterophily,4,0.7888888716697693,0.8015872836112976,nan,3.772923707962036
qk_gt,heterophily,0,0.800000011920929,0.7698412537574768,nan,5.671199321746826
qk_gt,heterophily,1,0.8500000238418579,0.8539682626724243,nan,3.9215152263641357
qk_gt,heterophily,2,0.8722222447395325,0.8190476298332214,nan,5.723046779632568
qk_gt,heterophily,3,0.8666666746139526,0.8396825194358826,nan,5.8231260776519775
qk_gt,heterophily,4,0.7722222208976746,0.7650793790817261,nan,3.099400281906128
gate_gt,heterophily,0,0.8722222447395325,0.8333333134651184,-0.15255905931219557,3.089332103729248
gate_gt,heterophily,1,0.8833333253860474,0.8571428656578064,0.37749608452831457,3.609632730484009
gate_gt,heterophily,2,0.8999999761581421,0.8349206447601318,0.06237073901391221,4.186303615570068
gate_gt,heterophily,3,0.9166666865348816,0.8650793433189392,0.30877339495752315,4.269597053527832
gate_gt,heterophily,4,0.855555534362793,0.8126984238624573,-0.017956024638813958,4.469810485839844
reliability_gt,heterophily,0,0.8722222447395325,0.8301587104797363,-0.3707092530788172,5.0397889614105225
reliability_gt,heterophily,1,0.8388888835906982,0.8539682626724243,-0.06956715271296415,2.4214775562286377
reliability_gt,heterophily,2,0.9222221970558167,0.8539682626724243,-0.30241197503026906,7.872875452041626
reliability_gt,heterophily,3,0.8722222447395325,0.8396825194358826,0.03021537130663437,4.341633319854736
reliability_gt,heterophily,4,0.8222222328186035,0.7809523940086365,0.003786755494772403,2.624272108078003
linear_gt,homophily,0,0.9555555582046509,0.9396825432777405,nan,5.523012638092041
linear_gt,homophily,1,0.9333333373069763,0.9428571462631226,nan,2.3277454376220703
linear_gt,homophily,2,0.9444444179534912,0.9285714030265808,nan,2.0061140060424805
linear_gt,homophily,3,0.9611111283302307,0.9111111164093018,nan,2.761137008666992
linear_gt,homophily,4,0.894444465637207,0.8666666746139526,nan,2.8511481285095215
qk_gt,homophily,0,0.9333333373069763,0.920634925365448,nan,3.4374001026153564
qk_gt,homophily,1,0.9111111164093018,0.9539682269096375,nan,3.0519325733184814
qk_gt,homophily,2,0.9444444179534912,0.9301587343215942,nan,4.778906345367432
qk_gt,homophily,3,0.9666666388511658,0.9253968000411987,nan,4.495187282562256
qk_gt,homophily,4,0.9222221970558167,0.8777777552604675,nan,2.631779193878174
gate_gt,homophily,0,0.9833333492279053,0.958730161190033,-0.046468589908599416,2.1031789779663086
gate_gt,homophily,1,0.9666666388511658,0.9730158448219299,-0.10284392590032347,2.14420485496521
gate_gt,homophily,2,0.9722222089767456,0.9555555582046509,-0.11851125925525019,2.178636312484741
gate_gt,homophily,3,0.9944444298744202,0.9555555582046509,0.016132727195472055,2.8569931983947754
gate_gt,homophily,4,0.949999988079071,0.9412698149681091,-0.009608044599724046,1.9428925514221191
reliability_gt,homophily,0,0.9833333492279053,0.9539682269096375,0.07051084159190306,2.4679524898529053
reliability_gt,homophily,1,0.9666666388511658,0.9809523820877075,-0.1606928952051926,2.4390780925750732
reliability_gt,homophily,2,0.9666666388511658,0.961904764175415,0.4735769120137357,2.835117816925049
reliability_gt,homophily,3,0.9833333492279053,0.958730161190033,-0.06892816384847648,2.4841701984405518
reliability_gt,homophily,4,0.9777777791023254,0.958730161190033,-0.1393807252418268,6.673276662826538
linear_gt,noisy,0,0.6000000238418579,0.5714285969734192,nan,3.7540688514709473
linear_gt,noisy,1,0.6777777671813965,0.6650793552398682,nan,4.187021970748901
linear_gt,noisy,2,0.6666666865348816,0.6158730387687683,nan,3.0428833961486816
linear_gt,noisy,3,0.6722221970558167,0.6063492298126221,nan,4.207611322402954
linear_gt,noisy,4,0.550000011920929,0.49365079402923584,nan,2.0808303356170654
qk_gt,noisy,0,0.5555555820465088,0.5603174567222595,nan,2.727484941482544
qk_gt,noisy,1,0.6388888955116272,0.6539682745933533,nan,2.792919874191284
qk_gt,noisy,2,0.6666666865348816,0.6142857074737549,nan,4.785608530044556
qk_gt,noisy,3,0.6555555462837219,0.6000000238418579,nan,3.15433406829834
qk_gt,noisy,4,0.5444444417953491,0.5126984119415283,nan,2.144792079925537
gate_gt,noisy,0,0.605555534362793,0.5666666626930237,-0.195591528339125,3.141803503036499
gate_gt,noisy,1,0.644444465637207,0.6269841194152832,0.5101872667615728,2.2823309898376465
gate_gt,noisy,2,0.6611111164093018,0.6365079283714294,-0.10022649620452731,2.813992977142334
gate_gt,noisy,3,0.6777777671813965,0.6460317373275757,-0.0024243654710483136,3.6047158241271973
gate_gt,noisy,4,0.5611110925674438,0.5476190447807312,-0.12397093641530113,3.5659799575805664
reliability_gt,noisy,0,0.605555534362793,0.5523809790611267,-0.16246034714818441,3.881580114364624
reliability_gt,noisy,1,0.6611111164093018,0.6920635104179382,-0.10135103833078639,4.116204023361206
reliability_gt,noisy,2,0.6666666865348816,0.6158730387687683,0.21043541011710235,2.6325998306274414
reliability_gt,noisy,3,0.7111111283302307,0.6571428775787354,0.07291471205951008,3.501880168914795
reliability_gt,noisy,4,0.5611110925674438,0.5285714268684387,-0.07611538703871339,2.3048064708709717
