dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,reliability_encoder_mode,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,0:0,0,0,165,accuracy,0.8406001329421997,0.8309212327003479,0.8406001329421997,0.8309212327003479,nan,nan,0.7804442009158534,frozen,0.75,0.8211826682090759,0.8138015866279602,0.8211826682090759,0.8138015866279602,nan,nan,0.7553237940979045,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",raw_concat,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,8.15743112564087,0.762864351272583,0.06855294853448868,0.6500008702278137,0.8499953150749207,nan,0.06229902803897858,0.09999912977218628,0.09448865056037903,1.13555908203125,0.7310976386070251,0.05929526686668396,0.060847148299217224,6.6848883628845215,0.4703591763973236,0.4433150589466095,0.2256783400910767,-0.2632132506486608,0.09657053497481788,-0.19569597341825762,-0.11810033059077328
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,1:0,1,0,84,accuracy,0.842894971370697,0.8422167301177979,0.842894971370697,0.8422167301177979,nan,nan,0.7936767691349702,frozen,0.75,0.8255957365036011,0.8220967054367065,0.8255957365036011,0.8220967054367065,nan,nan,0.7688650035750931,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",raw_concat,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.004076957702637,0.7705925703048706,0.06141906604170799,0.6501302719116211,0.8499152064323425,nan,0.05688408762216568,0.09991520643234253,0.0852196216583252,0.9875213503837585,0.6550953388214111,0.05212511494755745,0.05347602069377899,6.4701337814331055,0.4884641766548157,0.4302237629890442,0.2315651407317158,0.24896092310255438,0.1695729048444016,0.018622523191892656,0.20545812068963804
Roman-empire,iterative_relation_frozen_reliability_only,iterative_relation_frozen,reliability_only,undirected,2:0,2,0,94,accuracy,0.8344218730926514,0.8379809260368347,0.8344218730926514,0.8379809260368347,nan,nan,0.7924577576636226,frozen,0.75,0.8206531405448914,0.816272497177124,0.8206531405448914,0.816272497177124,nan,nan,0.7682694541028842,4.76837158203125e-06,166144,157568,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",raw_concat,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9869881b689d2422,5.293229818344116,0.7661693692207336,0.06598611921072006,0.6500357985496521,0.8499648571014404,nan,0.060214050114154816,0.09996485710144043,0.08224042505025864,0.9559858441352844,0.6616546511650085,0.05285155400633812,0.05438663065433502,6.735070705413818,0.5084317922592163,0.4409022927284241,0.4098748598965484,-0.07742716974468719,0.2205853348750595,-0.06490311074738256,0.11501567270180235
