dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,reliability_encoder_mode,reliability_component_dim,component_missing_mode,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,0:0,0,0,-1,accuracy,0.4661113917827606,0.4719908535480499,0.4661113917827606,0.4719908535480499,nan,nan,0.36241747481412284,frozen,0.75,0.4661113917827606,0.4719908535480499,0.4661113917827606,0.4719908535480499,nan,nan,0.36241747481412284,1.1920928955078125e-06,159328,159328,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,3.4431049823760986,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1150991916656494,0.48359066247940063,0.1773787885904312,nan,nan,nan,nan,nan
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,1:0,1,0,0,accuracy,0.46856117248535156,0.46823450922966003,0.46856117248535156,0.46823450922966003,nan,nan,0.36400642332101296,frozen,0.5,0.46660134196281433,0.46594804525375366,0.46660134196281433,0.46594804525375366,nan,nan,0.35990774508144996,9.5367431640625e-07,159328,159328,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4533700942993164,0.49998989701271057,0.005057989154011011,0.4855012595653534,0.5145608186721802,nan,0.004752022679895163,0.014560818672180176,0.004356054589152336,0.05559152737259865,0.03499780222773552,0.006493144202977419,0.006752599962055683,2.8492000102996826,0.4971427619457245,0.15330328047275543,-0.47053740410201733,-0.08856953392250128,-3.1215401050142435e-05,-0.5316950679521067,-0.5974047413547441
Amazon-ratings,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,2:0,2,0,-1,accuracy,0.4801567792892456,0.4768904149532318,0.4801567792892456,0.4768904149532318,nan,nan,0.3624986096436238,frozen,0.75,0.4801567792892456,0.4768904149532318,0.4801567792892456,0.4768904149532318,nan,nan,0.3624986096436238,1.1920928955078125e-06,159328,159328,0,0.1,0.001,1,False,False,False,,"degree,local_similarity,neighbor_variance,rwse",component_concat,16,zero_slot,True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,2.4043171405792236,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0782535076141357,0.4975249469280243,0.17381606996059418,nan,nan,nan,nan,nan
