model,graph_type,seed,best_val_acc,test_acc_at_best_val,qk_strength_init,fixed_qk_strength,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std,qk_gamma_k_std,qk_gamma_q_abs_dev_max,qk_gamma_k_abs_dev_max,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
linear_gt,heterophily,0,0.8388888835906982,0.817460298538208,-5.0,0.1,5.7651307582855225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,1,0.855555534362793,0.8380952477455139,-5.0,0.1,3.3100929260253906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,2,0.8777777552604675,0.7952380776405334,-5.0,0.1,4.234325170516968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,3,0.8444444537162781,0.8238095045089722,-5.0,0.1,3.9908323287963867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,4,0.7888888716697693,0.8015872836112976,-5.0,0.1,3.853909730911255,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,5,0.7777777910232544,0.7428571581840515,-5.0,0.1,2.5362820625305176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,6,0.8333333134651184,0.8365079164505005,-5.0,0.1,5.4991865158081055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,7,0.8444444537162781,0.858730137348175,-5.0,0.1,5.265036582946777,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,8,0.8833333253860474,0.855555534362793,-5.0,0.1,4.464042901992798,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,9,0.8444444537162781,0.8365079164505005,-5.0,0.1,4.500027894973755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
gate_gt,heterophily,0,0.8722222447395325,0.8333333134651184,-5.0,0.1,3.18034029006958,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.46497647466466197,-0.15255947318092752,-0.267893720651136,-0.3741793956938338,-0.23621599742544463,-0.06594430124498578
gate_gt,heterophily,1,0.8833333253860474,0.8571428656578064,-5.0,0.1,4.306141138076782,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.03418916806561698,0.37749634370683,-0.1846879210803813,-0.14187048506402591,0.295400268456257,0.15575317203850034
gate_gt,heterophily,2,0.8999999761581421,0.8349206447601318,-5.0,0.1,5.1357102394104,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04988531755005872,0.06237257096461244,0.02189011464207289,-0.4065851326551276,0.1344355053543632,0.032993475873373306
gate_gt,heterophily,3,0.9111111164093018,0.8698412775993347,-5.0,0.1,4.4541215896606445,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.05348721075318683,0.30376187165693763,0.1589524917779589,-0.19923247624387397,0.3252322411095424,0.20607973203335722
gate_gt,heterophily,4,0.855555534362793,0.8126984238624573,-5.0,0.1,4.762096643447876,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.06575615257809939,-0.017922086292153836,0.2604065490339025,-0.26649088152397465,-0.03528572384898645,-0.0070842194910861345
gate_gt,heterophily,5,0.8111110925674438,0.8222222328186035,-5.0,0.1,3.2440884113311768,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.033659975480949976,0.13728398766149058,-0.5522773847999687,-0.010071806707353312,0.05513931413653795,0.15448919162311464
gate_gt,heterophily,6,0.8999999761581421,0.8714285492897034,-5.0,0.1,6.355094909667969,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03760443086000855,0.1789758091848394,0.0010803773127157168,-0.017312855830911193,0.3873660739421738,-0.17134799489672306
gate_gt,heterophily,7,0.8611111044883728,0.8444444537162781,-5.0,0.1,4.069737195968628,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.17570507946414832,-0.039792156740633536,-0.2720234603801531,0.034074457381128354,-0.297006687529565,0.09267295946219022
gate_gt,heterophily,8,0.9222221970558167,0.9095237851142883,-5.0,0.1,5.494752645492554,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.26470542278819253,-0.2579046857414904,-0.6011477906643785,-0.010153210056625466,-0.3381636767985472,-0.14523225721352967
gate_gt,heterophily,9,0.8277778029441833,0.8634920716285706,-5.0,0.1,3.7004036903381348,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.04855396381552388,0.27134934130237087,-0.15429163021556708,-0.16151651717171014,0.1703120005865961,0.20673906055886915
qk_gt,heterophily,0,0.8333333134651184,0.8206349015235901,-5.0,0.1,6.361318349838257,0.1,0.1,0.1,0.022396212443709373,0.02629316970705986,0.026064254343509674,0.026530221104621887,0.04998481273651123,0.04999607801437378,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,1,0.8500000238418579,0.8396825194358826,-5.0,0.1,4.758653879165649,0.1,0.1,0.1,0.01706336997449398,0.018852241337299347,0.020338580012321472,0.020209789276123047,0.049922406673431396,0.0499626100063324,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,2,0.855555534362793,0.8079364895820618,-5.0,0.1,4.310015916824341,0.1,0.1,0.1,0.01524474285542965,0.013698652386665344,0.018879126757383347,0.01612786389887333,0.04996466636657715,0.049855589866638184,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,3,0.8666666746139526,0.8301587104797363,-5.0,0.1,5.0778279304504395,0.1,0.1,0.1,0.016453811898827553,0.018266914412379265,0.01962917298078537,0.01795792207121849,0.04961550235748291,0.04919365048408508,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,4,0.7888888716697693,0.7873015999794006,-5.0,0.1,3.772698163986206,0.1,0.1,0.1,0.013495203107595444,0.015261979773640633,0.0167226642370224,0.0170668363571167,0.049790143966674805,0.049548834562301636,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,5,0.7722222208976746,0.7492063641548157,-5.0,0.1,3.9389617443084717,0.1,0.1,0.1,0.01542085874825716,0.01571737229824066,0.01889663189649582,0.018624786287546158,0.049560725688934326,0.04915821552276611,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,6,0.8111110925674438,0.8285714387893677,-5.0,0.1,4.8155012130737305,0.1,0.1,0.1,0.013638741336762905,0.01385551132261753,0.01722208969295025,0.016406655311584473,0.0496770441532135,0.04953846335411072,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,7,0.8666666746139526,0.8333333134651184,-5.0,0.1,6.485498428344727,0.1,0.1,0.1,0.015278579667210579,0.017078621312975883,0.018461309373378754,0.017028648406267166,0.0496957004070282,0.049609601497650146,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,8,0.8500000238418579,0.8539682626724243,-5.0,0.1,4.055458068847656,0.1,0.1,0.1,0.014371810480952263,0.01621316559612751,0.017705610021948814,0.01840873807668686,0.048878014087677,0.049792975187301636,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,9,0.7888888716697693,0.8015872836112976,-5.0,0.1,4.511526823043823,0.1,0.1,0.1,0.015568308532238007,0.017435472458600998,0.01896604336798191,0.019391681998968124,0.04988890886306763,0.049804091453552246,nan,nan,nan,nan,nan,nan
reliability_gt,heterophily,0,0.9055555462837219,0.8682539463043213,-5.0,0.1,7.9943530559539795,0.1,0.1,0.1,0.015112264081835747,0.019018629565835,0.01806710846722126,0.022032445296645164,0.04963037371635437,0.04990553855895996,-0.03166233361924449,0.014601425839476477,-0.1717055483296394,0.4929549166728232,0.08302252245996394,-0.1594353077044743
reliability_gt,heterophily,1,0.9055555462837219,0.9031745791435242,-5.0,0.1,8.766665697097778,0.1,0.1,0.1,0.015360290184617043,0.01616772450506687,0.018558666110038757,0.01892116665840149,0.04945164918899536,0.049716055393218994,0.01495026048069738,-0.0916018491869362,0.0462862482967652,0.17280893993380558,-0.16867879571833014,-0.011398257206569826
reliability_gt,heterophily,2,0.894444465637207,0.8333333134651184,-5.0,0.1,4.124670743942261,0.1,0.1,0.1,0.014115609228610992,0.015318434685468674,0.015987275168299675,0.01794738695025444,0.04981887340545654,0.04951661825180054,0.13386046632112641,0.01951433393565574,0.2558747353812644,0.010714767906822985,-0.010881261342267292,0.024437295582133107
reliability_gt,heterophily,3,0.8833333253860474,0.8682539463043213,-5.0,0.1,3.5617103576660156,0.1,0.1,0.1,0.012346095405519009,0.01331714540719986,0.01494019664824009,0.016029497608542442,0.04738879203796387,0.04743701219558716,-0.07256736585948564,0.04857520034306526,0.0782729741194854,0.11514004637262927,-0.06245836901459716,0.054954785191451014
reliability_gt,heterophily,4,0.894444465637207,0.8873015642166138,-5.0,0.1,7.809873342514038,0.1,0.1,0.1,0.015878304839134216,0.016637243330478668,0.017934706062078476,0.019958557561039925,0.049159079790115356,0.049606144428253174,-0.08747347359736324,0.08288220005882313,-0.2149767499064048,0.08374793132924355,0.30044260674355366,-0.037790964794404476
reliability_gt,heterophily,5,0.8388888835906982,0.8523809313774109,-5.0,0.1,7.35282301902771,0.1,0.1,0.1,0.014216473326086998,0.016026273369789124,0.016621924936771393,0.019442712888121605,0.04958319664001465,0.04973185062408447,0.1438690846265331,0.20368813491994384,0.17167545240278043,-0.06249740184800807,0.2695528259196472,-0.027342513685605262
reliability_gt,heterophily,6,0.8444444537162781,0.8523809313774109,-5.0,0.1,4.033655881881714,0.1,0.1,0.1,0.010161555372178555,0.010273955762386322,0.012766153551638126,0.012398016639053822,0.048647940158843994,0.048171937465667725,-0.1540008793332161,-0.25022354361144955,0.013901423565409033,-0.19690615649484045,-0.26439786149489236,-0.005820105177371084
reliability_gt,heterophily,7,0.8777777552604675,0.8761904835700989,-5.0,0.1,5.8926074504852295,0.1,0.1,0.1,0.012302665039896965,0.015515852719545364,0.015345394611358643,0.017180725932121277,0.04937523603439331,0.04893070459365845,-0.031386311140781775,0.12448623713006035,-0.14718098771251276,0.042119390800927275,0.12180204826006713,0.07739404213323395
reliability_gt,heterophily,8,0.8888888955116272,0.8666666746139526,-5.0,0.1,2.8405919075012207,0.1,0.1,0.1,0.010649746283888817,0.011159541085362434,0.01311428938060999,0.01365925557911396,0.048952341079711914,0.04867362976074219,0.11892183395216277,0.38758134802379374,0.4175598864615529,-0.06169605496649665,0.38304971974499363,0.008532410042099833
reliability_gt,heterophily,9,0.8722222447395325,0.9015873074531555,-5.0,0.1,7.3863139152526855,0.1,0.1,0.1,0.014091728255152702,0.01764020323753357,0.017443031072616577,0.020108014345169067,0.04982393980026245,0.049877047538757324,0.024903018728520805,0.045440169597006655,0.18569748170077655,0.2261312684416643,0.22505956756175702,-0.08713480625730309
linear_gt,homophily,0,0.9555555582046509,0.9396825432777405,-5.0,0.1,5.969205617904663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
