graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,gate_local_similarity_corr_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,5,0.8406349182128906,0.01863575229061981,0.8855555534362793,0.11562502690974807,4.256059646606445,0.02539683580398555
heterophily,gcn,5,0.7939682483673096,0.02036203889719448,0.8422222256660461,nan,1.0297966480255127,-0.021269834041595437
heterophily,linear_gt,5,0.815238082408905,0.015409101382725566,0.8411110997200012,nan,4.331703853607178,0.0
heterophily,mlp,5,0.6466666698455811,0.028119888819875063,0.6777777552604676,nan,0.11682567596435547,-0.16857141256332397
heterophily,qk_gt,5,0.8095238089561463,0.0361263698203826,0.8322222352027893,nan,4.428170013427734,-0.005714273452758767
heterophily,reliability_gt,5,0.8317460298538208,0.026956098215220804,0.8655555605888366,-0.14173725080412872,4.270796537399292,0.016507947444915794
homophily,gate_gt,5,0.9568253874778747,0.010109004310782025,0.9733333230018616,-0.052259818493685016,2.4526063442230224,0.03904761075973506
homophily,gcn,5,0.9965079188346863,0.0023328488573087568,0.997777771949768,nan,0.4747177600860596,0.07873014211654661
homophily,linear_gt,5,0.9177777767181396,0.027864260484243113,0.9377777814865113,nan,3.0827144622802733,0.0
homophily,mlp,5,0.6466666698455811,0.028119888819875063,0.6777777552604676,nan,0.10565662384033203,-0.27111110687255857
homophily,qk_gt,5,0.9215872883796692,0.02472524795487212,0.9355555415153504,nan,3.685592222213745,0.003809511661529541
homophily,reliability_gt,5,0.9628571391105651,0.009395972435547522,0.9755555510520935,0.035017193862028576,4.936442041397095,0.04507936239242549
noisy,gate_gt,5,0.6047618985176086,0.039802989420972636,0.6299999952316284,0.017594788066314208,3.209106683731079,0.014285695552825883
noisy,gcn,5,0.7895238041877747,0.021962194155144627,0.7944444417953491,nan,1.4842471599578857,0.19904760122299192
noisy,linear_gt,5,0.5904762029647828,0.056921970607287535,0.6333333373069763,nan,3.39485559463501,0.0
noisy,mlp,5,0.5571428656578064,0.02278207308141789,0.5911111116409302,nan,0.1294334888458252,-0.03333333730697641
noisy,qk_gt,5,0.5882539749145508,0.04821427608621883,0.6122222304344177,nan,3.5472582817077636,-0.002222228050231978
noisy,reliability_gt,5,0.6092063665390015,0.06154474479391787,0.6411111116409302,-0.011315330068214353,3.2193370819091798,0.01873016357421875
