dataset,family,control_mode,n,test_acc_mean,test_acc_std,macro_f1_mean,baseline_test_acc_mean,gain_over_own_baseline,base_alpha_mean,alpha_mean,alpha_std,adjustment_mean,adjustment_max,alpha_corr_local_similarity,alpha_corr_rwse,alpha_corr_control_input_mean,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters
Chameleon,hidden_mixing_finetune,combined,3,0.5445906519889832,0.00918846638088619,0.5402012193213435,0.542397677898407,0.002192974090576172,0.9166666666666666,0.9162891109784445,5.0481248763389885e-05,0.0008815654243032137,0.0010792649118229747,-0.26547736706185204,-0.33491281584925836,-0.35038253794524216,259401.0,34948.0,224453.0
Chameleon,hidden_mixing_finetune,combined_constant,3,0.5445906519889832,0.00918846638088619,0.5402052450862389,0.542397677898407,0.002192974090576172,0.9166666666666666,0.9162907600402832,4.864716902375221e-05,0.0008780340625283619,0.001039867561000089,-0.17901483068836516,-0.1488902920843851,nan,259401.0,34948.0,224453.0
Chameleon,hidden_mixing_finetune,combined_shuffled,3,0.5394736925760905,0.012911935827200089,0.5354453582423314,0.542397677898407,-0.0029239853223164878,0.9166666666666666,0.9163563052813212,0.0001507514874295642,0.0007703201845288277,0.001296904869377613,-0.13658111725487182,-0.09933143661682897,0.16942034038373763,259401.0,34948.0,224453.0
Chameleon,hidden_mixing_finetune,constant_reliability,3,0.5438596606254578,0.009969441109360181,0.5395716758057203,0.542397677898407,0.0014619827270507812,0.9166666666666666,0.9162852962811788,4.325661575421691e-05,0.0009092112692693869,0.0010156705587481458,nan,nan,nan,259401.0,26372.0,224453.0
Chameleon,hidden_mixing_finetune,feature_only,3,0.5387427012125651,0.013675649275063992,0.5348538383684067,0.542397677898407,-0.0036549766858418784,0.9166666666666666,0.9163397947947184,0.00019843573682010174,0.0008002060349099338,0.0016783033885682623,-0.1873657484113665,-0.13941896867466969,nan,259401.0,25348.0,224453.0
Chameleon,hidden_mixing_finetune,fixed,3,0.5431286692619324,0.010793006584243363,0.5343664672302797,0.542397677898407,0.0007309913635253906,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,nan,nan,nan,224453.0,0.0,224453.0
Chameleon,hidden_mixing_finetune,reliability_only,3,0.5394736925760905,0.012911935827200089,0.5352676421566834,0.542397677898407,-0.0029239853223164878,0.9166666666666666,0.9162856141726176,0.00035102317633572966,0.0008413767597327629,0.0026164378505200148,-0.23942456586847521,-0.4686623210344272,-0.5343562026026094,259401.0,26372.0,224453.0
Chameleon,hidden_mixing_finetune,shuffled_reliability,3,0.5445906519889832,0.00918846638088619,0.5402012193213435,0.542397677898407,0.002192974090576172,0.9166666666666666,0.9162760774294535,4.697794793173671e-05,0.0009315169882029295,0.0010678487597033381,0.03695867224163014,-0.0010492705919093628,0.5006035386548692,259401.0,26372.0,224453.0
Chameleon,hidden_mixing_finetune,zero_reliability,3,0.5431286692619324,0.010181578611462488,0.539616492438397,0.542397677898407,0.0007309913635253906,0.9166666666666666,0.916442354520162,5.2435613421645634e-05,0.0006278219322363535,0.0007719989613785098,nan,nan,nan,259401.0,26372.0,224453.0
Chameleon,hidden_mixing_frozen,combined,3,0.5438596606254578,0.009969441109360181,0.5390692226668312,0.542397677898407,0.0014619827270507812,0.9166666666666666,0.9223507245381674,0.005012669910987218,0.028859579159567755,0.034000000450760126,0.0561550832704297,-0.403169622380827,-0.15599282995556502,34948.0,34948.0,0.0
