dataset,family,comparison,n,mean_delta,ci95_low,ci95_high,wins,ties,losses,pvalue
Cora,hidden_mixing_frozen,feature_only - fixed,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,reliability_only - fixed,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,combined - fixed,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,shuffled_reliability - fixed,3,-0.0003333290417989095,-0.001767528153381987,0.0011008700697841681,0,2,1,0.42264973081037427
Cora,hidden_mixing_frozen,constant_reliability - fixed,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,zero_reliability - fixed,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,combined_shuffled - fixed,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,combined_constant - fixed,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,reliability_only - feature_only,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,true reliability - shuffled reliability,3,0.0003333290417989095,-0.0011008700697841681,0.001767528153381987,1,2,0,0.42264973081037427
Cora,hidden_mixing_frozen,true reliability - constant reliability,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,true reliability - zero reliability,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,combined - feature_only,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,combined - combined_shuffled,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_frozen,combined - combined_constant,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_finetune,feature_only - fixed,3,0.007666667302449544,-0.025320339694107147,0.04065367429900624,1,2,0,0.42264973081037427
Cora,hidden_mixing_finetune,reliability_only - fixed,3,0.006666660308837891,-0.022017663866940387,0.03535098448461617,1,2,0,0.42264973081037427
Cora,hidden_mixing_finetune,combined - fixed,3,0.004333317279815674,-0.014311442142822695,0.022978076702454043,1,2,0,0.42264973081037427
Cora,hidden_mixing_finetune,shuffled_reliability - fixed,3,0.004666666189829509,-0.015412377830421115,0.024745710210080134,1,2,0,0.42264973081037416
Cora,hidden_mixing_finetune,constant_reliability - fixed,3,0.004999995231628418,-0.016513247900205287,0.026513238363462123,1,2,0,0.42264973081037427
Cora,hidden_mixing_finetune,zero_reliability - fixed,3,0.006666660308837891,-0.022017663866940387,0.03535098448461617,1,2,0,0.42264973081037427
Cora,hidden_mixing_finetune,combined_shuffled - fixed,3,0.005333324273427327,-0.017614117969989455,0.028280766516844108,1,2,0,0.42264973081037427
Cora,hidden_mixing_finetune,combined_constant - fixed,3,0.005666653315226237,-0.018714988039773624,0.0300482946702261,1,2,0,0.42264973081037416
Cora,hidden_mixing_finetune,reliability_only - feature_only,3,-0.0010000069936116536,-0.005302689814390068,0.003302675827166761,0,2,1,0.42264973081037427
Cora,hidden_mixing_finetune,true reliability - shuffled reliability,3,0.0019999941190083823,-0.0066052860365192635,0.010605274274536029,1,2,0,0.42264973081037427
Cora,hidden_mixing_finetune,true reliability - constant reliability,3,0.0016666650772094727,-0.005504415966735097,0.008837746121154042,1,2,0,0.42264973081037427
Cora,hidden_mixing_finetune,true reliability - zero reliability,3,0.0,0.0,0.0,0,3,0,nan
Cora,hidden_mixing_finetune,combined - feature_only,3,-0.0033333500226338706,-0.01767559759655219,0.011008897551284449,0,2,1,0.42264973081037416
Cora,hidden_mixing_finetune,combined - combined_shuffled,3,-0.0010000069936116536,-0.005302689814390068,0.003302675827166761,0,2,1,0.42264973081037427
Cora,hidden_mixing_finetune,combined - combined_constant,3,-0.0013333360354105632,-0.007070217967772055,0.0044035458969509285,0,2,1,0.42264973081037416
Citeseer,residual_alpha,feature_only - fixed,3,0.000666658083597819,-0.010534942825253668,0.011868258992449305,2,0,1,0.8218281144417335
Citeseer,residual_alpha,reliability_only - fixed,3,-0.0009999871253967285,-0.01414477901577881,0.012144804764985353,2,0,1,0.7745084696547154
Citeseer,residual_alpha,combined - fixed,3,-0.0023333231608072915,-0.02114288979294363,0.016476243471329043,2,0,1,0.6468977192582809
Citeseer,residual_alpha,shuffled_reliability - fixed,3,-0.0013333360354105632,-0.04509455869532219,0.04242788662450107,2,0,1,0.9076974923611351
Citeseer,residual_alpha,constant_reliability - fixed,3,0.0013333360354105632,-0.029726635884725378,0.032393307955546506,2,0,1,0.870494842107338
Citeseer,residual_alpha,zero_reliability - fixed,3,0.000666658083597819,-0.03287687947741847,0.034210195644614104,2,0,1,0.9396436321543558
Citeseer,residual_alpha,combined_shuffled - fixed,3,-0.0026666720708211264,-0.01634822988863994,0.011014885746997688,1,1,1,0.4899377026590015
Citeseer,residual_alpha,combined_constant - fixed,3,0.0016666650772094727,-0.03314089481195365,0.03647422496637259,2,0,1,0.8558429413388584
Citeseer,residual_alpha,reliability_only - feature_only,3,-0.0016666452089945476,-0.005461179388793146,0.0021278889708040505,0,1,2,0.1993592309745643
Citeseer,residual_alpha,true reliability - shuffled reliability,3,0.00033334891001383465,-0.030726623010122106,0.03139332083014978,1,1,1,0.9673646797269801
Citeseer,residual_alpha,true reliability - constant reliability,3,-0.0023333231608072915,-0.02162872438819122,0.016962078066576635,1,1,1,0.6547164291547192
Citeseer,residual_alpha,true reliability - zero reliability,3,-0.0016666452089945476,-0.02308409713810665,0.01975080672011755,1,1,1,0.7696151350585594
Citeseer,residual_alpha,combined - feature_only,3,-0.002999981244405111,-0.011956633957897747,0.005956671469087524,0,1,2,0.2862544647383908
Citeseer,residual_alpha,combined - combined_shuffled,3,0.00033334891001383465,-0.005918258529745381,0.006584956349773051,1,1,1,0.8398645043760117
Citeseer,residual_alpha,combined - combined_constant,3,-0.003999988238016765,-0.023401777533145846,0.015401801057112315,1,1,1,0.4686332422492069
Citeseer,hidden_mixing_frozen,feature_only - fixed,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,reliability_only - fixed,3,-0.000666658083597819,-0.003535056306763974,0.0022017401395683363,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_frozen,combined - fixed,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,shuffled_reliability - fixed,3,-0.000666658083597819,-0.003535056306763974,0.0022017401395683363,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_frozen,constant_reliability - fixed,3,-0.000666658083597819,-0.003535056306763974,0.0022017401395683363,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_frozen,zero_reliability - fixed,3,-0.000666658083597819,-0.003535056306763974,0.0022017401395683363,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_frozen,combined_shuffled - fixed,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,combined_constant - fixed,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,reliability_only - feature_only,3,-0.000666658083597819,-0.003535056306763974,0.0022017401395683363,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_frozen,true reliability - shuffled reliability,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,true reliability - constant reliability,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,true reliability - zero reliability,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,combined - feature_only,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,combined - combined_shuffled,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_frozen,combined - combined_constant,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_finetune,feature_only - fixed,3,0.0003333290417989095,-0.03517620775598444,0.035842865839582266,1,0,2,0.9714522159964569
Citeseer,hidden_mixing_finetune,reliability_only - fixed,3,0.0016666650772094727,-0.03932786489117576,0.04266119504559471,1,0,2,0.8772429174141301
Citeseer,hidden_mixing_finetune,combined - fixed,3,-0.004999995231628418,-0.02051347949022887,0.010513489026972033,0,1,2,0.29986143086855166
Citeseer,hidden_mixing_finetune,shuffled_reliability - fixed,3,0.003666659196217855,-0.04566287667527051,0.052996195067706225,1,0,2,0.7794260017023248
Citeseer,hidden_mixing_finetune,constant_reliability - fixed,3,0.0026666720708211264,-0.04248272799320129,0.04781607213484355,1,0,2,0.8231366232693653
Citeseer,hidden_mixing_finetune,zero_reliability - fixed,3,0.0019999941190083823,-0.04037618731709995,0.04437617555511672,1,0,2,0.8578664886061604
Citeseer,hidden_mixing_finetune,combined_shuffled - fixed,3,-0.004999995231628418,-0.02051347949022887,0.010513489026972033,0,1,2,0.29986143086855166
Citeseer,hidden_mixing_finetune,combined_constant - fixed,3,-0.004999995231628418,-0.02051347949022887,0.010513489026972033,0,1,2,0.29986143086855166
Citeseer,hidden_mixing_finetune,reliability_only - feature_only,3,0.0013333360354105632,-0.0044035458969509285,0.007070217967772055,1,2,0,0.42264973081037416
Citeseer,hidden_mixing_finetune,true reliability - shuffled reliability,3,-0.0019999941190083823,-0.010605274274536029,0.0066052860365192635,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_finetune,true reliability - constant reliability,3,-0.0010000069936116536,-0.005302689814390068,0.003302675827166761,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_finetune,true reliability - zero reliability,3,-0.0003333290417989095,-0.001767528153381987,0.0011008700697841681,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_finetune,combined - feature_only,3,-0.005333324273427327,-0.028280766516844108,0.017614117969989455,0,2,1,0.42264973081037427
Citeseer,hidden_mixing_finetune,combined - combined_shuffled,3,0.0,0.0,0.0,0,3,0,nan
Citeseer,hidden_mixing_finetune,combined - combined_constant,3,0.0,0.0,0.0,0,3,0,nan
Chameleon,hidden_protocol,fixed: finetune - frozen,3,0.0007309913635253906,-0.002414210622131436,0.0038761933491822174,1,2,0,0.42264973081037427
Chameleon,hidden_protocol,feature_only: finetune - frozen,3,-0.0036549766858418784,-0.03463170625852723,0.02732175288684348,1,1,1,0.6621304805400529
Chameleon,hidden_protocol,reliability_only: finetune - frozen,3,-0.005116959412892659,-0.027133458798519628,0.01689953997273431,0,2,1,0.42264973081037427
Chameleon,hidden_protocol,combined: finetune - frozen,3,0.0007309913635253906,-0.002414210622131436,0.0038761933491822174,1,2,0,0.42264973081037427
Chameleon,hidden_protocol,shuffled_reliability: finetune - frozen,3,0.002192974090576172,-0.00724263186639431,0.011628580047546654,1,2,0,0.42264973081037427
Chameleon,hidden_protocol,constant_reliability: finetune - frozen,3,0.0014619827270507812,-0.004828421244262872,0.007752386698364435,1,2,0,0.42264973081037427
Chameleon,hidden_protocol,zero_reliability: finetune - frozen,3,0.0007309913635253906,-0.007590430913589113,0.009052413640639894,1,1,1,0.7418011102528389
Chameleon,hidden_protocol,combined_shuffled: finetune - frozen,3,-0.0029239853223164878,-0.03087923380497513,0.025031263160342158,1,1,1,0.6967597167979418
Chameleon,hidden_protocol,combined_constant: finetune - frozen,3,0.002192974090576172,-0.00724263186639431,0.011628580047546654,1,2,0,0.42264973081037427
Squirrel,hidden_protocol,fixed: finetune - frozen,3,0.0,0.0,0.0,0,3,0,nan
Squirrel,hidden_protocol,feature_only: finetune - frozen,3,-0.0022414326667785645,-0.01188553904892346,0.007402673715366331,0,2,1,0.42264973081037427
Squirrel,hidden_protocol,reliability_only: finetune - frozen,3,-0.001601030429204305,-0.008891321912630914,0.005689261054222304,1,0,2,0.4444444444444444
Squirrel,hidden_protocol,combined: finetune - frozen,3,-0.000640412171681722,-0.010284561296841207,0.009003736953477762,1,1,1,0.8019704914046651
Squirrel,hidden_protocol,shuffled_reliability: finetune - frozen,3,-0.0028818448384602866,-0.0173971473720298,0.011633457695109227,1,1,1,0.4829637034519447
Squirrel,hidden_protocol,constant_reliability: finetune - frozen,3,-0.0012808144092559814,-0.006791714023475382,0.004230085204963419,0,2,1,0.42264973081037427
Squirrel,hidden_protocol,zero_reliability: finetune - frozen,3,-0.000960618257522583,-0.0050938250254480765,0.0031725885104029105,0,2,1,0.42264973081037427
