dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Tolokers,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,0:0,0,0,112,roc_auc,0.8538612562779274,0.8426167682042356,0.8251105546951294,0.8183673620223999,0.8538612562779274,0.8426167682042356,0.7018321268305505,1.0,0.814222514629364,0.8142857551574707,0.8432714332071977,0.8373741625522939,0.8432714332071977,0.8373741625522939,0.6694781871746237,1.430511474609375e-06,242242,157568,76098,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",1ac1394465c9651a70983a47f75a3745b2994db6c16c279cd5bcf31471862e65,9869881b689d2422,7.16467022895813,0.9814503192901611,0.030860699713230133,0.9002280831336975,1.0,nan,0.01854970119893551,0.09977191686630249,0.05045732483267784,0.8710339665412903,0.553276002407074,6.227457523345947,0.45382067561149597,0.4084310531616211,0.01672524682868525,0.04050264642588059,0.02670499378381052,-0.23693997466387717,-0.011954378582061831
Tolokers,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,1:0,1,0,113,roc_auc,0.8517390826181349,0.8485538013550995,0.8196665048599243,0.8214285969734192,0.8517390826181349,0.8485538013550995,0.6745713397182148,1.0,0.8138822317123413,0.8156462907791138,0.8504471771560156,0.8479335952433242,0.8504471771560156,0.8479335952433242,0.6344139307591713,1.430511474609375e-06,242242,157568,76098,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",1ac1394465c9651a70983a47f75a3745b2994db6c16c279cd5bcf31471862e65,9869881b689d2422,6.128577709197998,0.9768344163894653,0.03452468290925026,0.9002602696418762,1.0,nan,0.023165564984083176,0.09973973035812378,0.0564361996948719,0.8750837445259094,0.40969282388687134,6.086700439453125,0.5135229229927063,0.38909146189689636,-0.25994572586750697,-0.10626534636420555,-0.1476832896593949,0.07322516280596172,-0.03269075366279592
Tolokers,iterative_relation_finetune_shuffled_reliability,iterative_relation_finetune,shuffled_reliability,undirected,2:0,2,0,31,roc_auc,0.8411451862774249,0.8522974061150289,0.8101394772529602,0.8244898319244385,0.8411451862774249,0.8522974061150289,0.7017577936084665,0.75,0.8091187477111816,0.83299320936203,0.8403597240495364,0.8557590373858889,0.8403597240495364,0.8557590373858889,0.704895974369285,1.430511474609375e-06,242242,157568,76098,0.1,0.001,1,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",1ac1394465c9651a70983a47f75a3745b2994db6c16c279cd5bcf31471862e65,9869881b689d2422,3.285778522491455,0.7538595199584961,0.02807459607720375,0.6709287166595459,0.8386256098747253,nan,0.023173348978161812,0.08862560987472534,0.0166645310819149,0.2052653282880783,0.12554894387722015,4.99675178527832,0.5413391590118408,0.3042396903038025,-0.14576985883728022,-0.08108626453816098,0.024009266321213127,-0.0037003756742998895,-0.26653253942418154
