dataset,runs,local_only_mean,global_only_mean,best_fixed_alpha_score_mean,oracle_union_mean,oracle_union_minus_best_fixed_mean,oracle_union_minus_best_single_mean,disagreement_rate_mean,local_win_rate_mean,global_win_rate_mean,preference_label_balance_mean,reliability_preference_auc_mean,feature_preference_auc_mean,combined_preference_auc_mean,degree_auc_mean,neighbor_variance_auc_mean,local_similarity_auc_mean,rwse_auc_mean
Roman-empire,10,0.3852982699871063,0.6599364578723907,0.6918284595012665,0.729138720035553,0.0373102605342865,0.06920226216316223,0.4130427084863186,0.06920225843787194,0.34384045004844666,0.16754965434554342,0.6996556940987588,0.7673986865157701,0.8379172169150788,0.6333394357130946,0.6267075368190343,0.5058241162838035,0.5704102515609915
Amazon-ratings,10,0.4019761562347412,0.41478033661842345,0.42513473331928253,0.558141428232193,0.13300669491291045,0.1428058087825775,0.2995263751596212,0.14336109757423401,0.15616527758538723,0.47830152508969037,0.5580038062057462,0.5346381227462809,0.5620291080595547,0.5480253518569369,0.508796821275334,0.5004751340154743,0.5655357263833165
