graph_type,model,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std_mean,qk_gamma_k_std_mean,qk_gamma_q_abs_dev_max_mean,qk_gamma_k_abs_dev_max_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,10,0.8441270053386688,0.03470932790863327,0.8611111223697663,nan,nan,nan,nan,nan,nan,nan,-0.15060262362940605,0.03690851218275256,-0.15728231188920982,-0.20671679313403132,0.03934998035316909,-0.01885451411949144,9.757953786849976,0.034126996994018555
heterophily,linear_gt,10,0.8100000083446502,0.035450880428131236,0.8338889062404633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.956248307228089,0.0
heterophily,qk_gt,10,0.8126984238624573,0.02928561210656092,0.8311111271381378,0.05,0.007313412614166737,0.00854788557626307,0.008917634095996618,0.009223829163238407,0.0247576504945755,0.02479090988636017,nan,nan,nan,nan,nan,nan,19.36711976528168,0.002698415517807029
heterophily,reliability_gt,10,0.8652381181716919,0.022147846068197474,0.8788889110088348,0.05,0.005922609800472855,0.007133135758340359,0.007225033640861511,0.008386252308264374,0.024076011776924134,0.024473470449447633,0.00102692296869885,0.05131336634411913,0.032280261775480996,0.08192876214072108,0.01896209450923604,0.014243815851149337,17.825110507011413,0.05523810982704169
homophily,gate_gt,10,0.9693650960922241,0.009147324706893112,0.9800000250339508,nan,nan,nan,nan,nan,nan,nan,-0.10009690032033894,-0.0013033281868344705,-0.012773264202854965,-0.03242310979077402,0.04592655739351637,-0.04368245224411328,6.958783364295959,0.04793650507926939
homophily,linear_gt,10,0.9214285910129547,0.023748594001203157,0.9350000321865082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.074890637397766,0.0
homophily,qk_gt,10,0.9307936668395996,0.023769279604457988,0.9427778065204621,0.05,0.006860109651461244,0.008185699675232172,0.007927331002429127,0.008022139174863696,0.023947975039482115,0.0242565780878067,nan,nan,nan,nan,nan,nan,16.993116760253905,0.00936507582664492
homophily,reliability_gt,10,0.9676190674304962,0.008583172505155534,0.9800000250339508,0.05,0.004017687775194645,0.004802392213605344,0.005032497877255082,0.005836520483717323,0.022082063555717468,0.02305070459842682,-0.07790955173697639,-0.03992338069612268,-0.0647706698807012,-0.03300959727204908,0.001286430602801888,-0.05031788477608416,11.685580182075501,0.04619047641754148
noisy,gate_gt,10,0.6058730244636535,0.04408041581422913,0.6488888978958129,nan,nan,nan,nan,nan,nan,nan,-0.1348970700785111,-0.12927105703371997,-0.07970046949298545,-0.12200529529227121,-0.08671425624888611,-0.11125072721302483,7.4147995710372925,0.009841269254684426
noisy,linear_gt,10,0.5960317552089691,0.04312818214831152,0.6338889062404632,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.659617018699646,0.0
noisy,qk_gt,10,0.5938095271587371,0.04671874391651032,0.6283333420753479,0.05,0.006412912672385573,0.006921897921711206,0.00787630509585142,0.007598174130544066,0.024182885885238647,0.02401934564113617,nan,nan,nan,nan,nan,nan,3.622016358375549,-0.002222228050231978
noisy,reliability_gt,10,0.6092063546180725,0.04376348684794534,0.6411111235618592,0.05,0.006257537635974586,0.006899125268682837,0.007643882650882006,0.007819782057777048,0.02384195327758789,0.023844242095947266,-0.06506569853223027,0.09646571290586076,0.06880607931646834,-0.03785571893949644,0.08836422592628272,0.07607219232981656,1.5307841777801514,0.013174599409103371
