dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,0:0,0,0,178,0.8390114307403564,0.8270384669303894,0.7785770111249823,0.75,0.8222418427467346,0.816272497177124,0.7611244496482534,4.76837158203125e-06,166144,166144,0,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,8.784436702728271,0.7631635665893555,0.0680319294333458,0.6500022411346436,0.849996030330658,nan,0.0619635209441185,0.09999775886535645,0.10128431767225266,1.2330676317214966,0.8075445294380188,6.781434059143066,0.4989978075027466,0.43447020649909973,0.3091661460043454,-0.03221441034617574,0.2782005941596488,-0.02649344295468966,0.13579994357830547
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,1:0,1,0,174,0.8448367118835449,0.839745819568634,0.78822761888298,0.75,0.8255957365036011,0.8219202160835266,0.7686104930221709,4.76837158203125e-06,166144,166144,0,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,7.828410387039185,0.7583839297294617,0.06854665279388428,0.6500059962272644,0.8499951362609863,nan,0.061697013676166534,0.09999513626098633,0.10519970208406448,1.249773621559143,0.7976465225219727,6.806458950042725,0.47499850392341614,0.4346473813056946,0.011451782978613465,-0.016685777301875163,0.05079780105078837,-0.25846787048812875,-0.15956300295012124
Roman-empire,iterative_relation_frozen_combined,iterative_relation_frozen,combined,undirected,2:0,2,0,48,0.8307148814201355,0.8277444243431091,0.7815270561183962,0.75,0.8206531405448914,0.811683714389801,0.7612940558570545,5.7220458984375e-06,166144,166144,0,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,4.371923208236694,0.7678282260894775,0.06115300953388214,0.6502920985221863,0.8499022126197815,nan,0.05547674000263214,0.0999022126197815,0.07168395072221756,0.8304597735404968,0.5476365685462952,6.505649566650391,0.5088098049163818,0.39939868450164795,0.46447301211842806,-0.040760498465129566,0.42651531020646793,0.1713056918407873,0.347019068259147
