dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,0:0,0,0,187,0.8466019034385681,0.8400987982749939,0.7955368982232631,0.75,0.8222418427467346,0.816272497177124,0.7611244496482534,4.76837158203125e-06,261842,157568,95698,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,9.815349578857422,0.7834040522575378,0.04724349454045296,0.6531888842582703,0.8497414588928223,nan,0.04880217835307121,0.09974145889282227,0.042070966213941574,0.4957064092159271,0.5267082452774048,7.139523983001709,0.46656379103660583,0.43741557002067566,0.25097210988486635,0.3844132978238933,0.12881750281496512,-0.19036652793911113,0.10844444964718529
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,1:0,1,0,188,0.8538393378257751,0.853512167930603,0.8139751684326274,0.75,0.8255957365036011,0.8219202160835266,0.7686104930221709,4.76837158203125e-06,261842,157568,95698,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,8.914535999298096,0.772552490234375,0.046911269426345825,0.6518903970718384,0.849108874797821,nan,0.044470567256212234,0.09910887479782104,0.06101466715335846,0.724781334400177,0.591937243938446,6.8957719802856445,0.4956299066543579,0.4363301396369934,-0.6038402720502325,0.4260502049401831,-0.5590967242408738,-0.07226367019198418,-0.2339483682735257
Roman-empire,iterative_relation_finetune_reliability_only,iterative_relation_finetune,reliability_only,undirected,2:0,2,0,199,0.843071460723877,0.8406282663345337,0.7962204042807987,0.75,0.8206531405448914,0.811683714389801,0.7612940558570545,4.76837158203125e-06,261842,157568,95698,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,8.797184705734253,0.7858900427818298,0.047337450087070465,0.6527432799339294,0.8497028946876526,nan,0.051602739840745926,0.09970289468765259,0.06599235534667969,0.7443357706069946,0.5645981431007385,7.124597549438477,0.5321421027183533,0.44651034474372864,0.1625503436426497,0.31969303285270606,-0.2395693080429703,-0.36214468249221093,-0.13873518354361863
