dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,0:0,0,0,1,0.469541072845459,0.46823450922966003,0.3729221552314791,0.75,0.4662747085094452,0.4672546088695526,0.35374316648395904,1.430511474609375e-06,166144,157568,0,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,3.696768045425415,0.7506858706474304,0.01848737522959709,0.7152435183525085,0.7841901183128357,nan,0.015732841566205025,0.034756481647491455,0.02371361292898655,0.2736887037754059,0.14448362588882446,4.479407787322998,0.49219322204589844,0.21807600557804108,-0.05658823212688817,-0.2588032740690482,0.20127489574582913,-0.11009054635482433,-0.09473934909873541
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,1:0,1,0,2,0.46660134196281433,0.46170178055763245,0.3549081702522917,0.5,0.4639882445335388,0.45582231879234314,0.34974854217228135,1.1920928955078125e-06,166144,157568,0,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,2.695613384246826,0.4989084303379059,0.027313197031617165,0.45098477602005005,0.548899233341217,nan,0.025126425549387932,0.04901522397994995,0.02391449734568596,0.29965493083000183,0.17331384122371674,5.1442551612854,0.5268797874450684,0.21325290203094482,-0.2996437682247608,-0.06288394378543467,0.019322521850720746,-0.2852305513168803,-0.5477659546611614
Amazon-ratings,iterative_relation_frozen_shuffled_reliability,iterative_relation_frozen,shuffled_reliability,undirected,2:0,2,0,-1,0.47983014583587646,0.4768904149532318,0.36758081365794665,0.75,0.47983014583587646,0.4768904149532318,0.36758081365794665,1.1920928955078125e-06,166144,157568,0,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9f9d1ce40cab8e6e,2.5836009979248047,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.0195906162261963,0.4982436001300812,0.1658424586057663,nan,nan,nan,nan,nan
