dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Roman-empire,iterative_relation_finetune_combined_shuffled,iterative_relation_finetune,combined_shuffled,undirected,0:0,0,0,-1,0.8222418427467346,0.816272497177124,0.7611244496482534,0.75,0.8222418427467346,0.816272497177124,0.7611244496482534,4.76837158203125e-06,261842,166144,95698,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,3.6759071350097656,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,4.062211990356445,0.44382309913635254,0.2522328197956085,nan,nan,nan,nan,nan
Roman-empire,iterative_relation_finetune_combined_shuffled,iterative_relation_finetune,combined_shuffled,undirected,1:0,1,0,179,0.8319505453109741,0.832686185836792,0.7811925598369344,0.75,0.8255957365036011,0.8219202160835266,0.7686104930221709,4.76837158203125e-06,261842,166144,95698,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,8.775956392288208,0.7909111976623535,0.0487620010972023,0.6594060659408569,0.8496926426887512,nan,0.05567247048020363,0.09969264268875122,0.06240702420473099,0.717817485332489,0.5474796295166016,6.986242771148682,0.4874168634414673,0.4072255492210388,-0.09528063179009996,-0.1050499542502712,-0.13343259394376555,-0.14571118283236037,-0.4229283234370451
Roman-empire,iterative_relation_finetune_combined_shuffled,iterative_relation_finetune,combined_shuffled,undirected,2:0,2,0,-1,0.8206531405448914,0.811683714389801,0.7612940558570545,0.75,0.8206531405448914,0.811683714389801,0.7612940558570545,4.76837158203125e-06,261842,166144,95698,0.1,0.001,2,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",6c90251bafa0f69081c84b9e964786d57aac3b7be62fa376f64393b6cb87e624,9f9d1ce40cab8e6e,2.6874592304229736,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,3.897298574447632,0.43575242161750793,0.24020525813102722,nan,nan,nan,nan,nan
