dataset,family,control_mode,intervention,n,primary_drop_mean,ci95_low,ci95_high,acc_drop_mean,prediction_change_rate_mean,normal_only_correct_rate_mean,intervention_only_correct_rate_mean,wins,ties,losses
Roman-empire,iterative_relation_finetune,combined,zero_layer_1,10,0.014719372987747193,0.007758913629332123,0.02167983234616226,0.014719372987747193,0.051976701430976394,0.027479702327400445,0.012760324310511351,10,0,0
Roman-empire,iterative_relation_finetune,combined,shuffled_reliability,10,0.050247079133987425,0.04000031762086712,0.06049384064710773,0.050247079133987425,0.11298975944519044,0.06849629171192646,0.01824920540675521,10,0,0
Roman-empire,iterative_relation_finetune,combined,constant_reliability,10,0.036745506525039676,0.03150673724045669,0.04198427580962266,0.036745506525039676,0.09897634610533715,0.055594774335622786,0.01884927600622177,10,0,0
Roman-empire,iterative_relation_finetune,fixed,zero_all,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_finetune,fixed,zero_layer_0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_finetune,fixed,zero_layer_1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_finetune,fixed,shuffled_reliability,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_finetune,fixed,constant_reliability,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0
Roman-empire,iterative_relation_finetune,reliability_only,zero_all,10,0.047387927770614624,0.03986470119149915,0.054911154349730096,0.047387927770614624,0.11170137450098991,0.067543238773942,0.02015531174838543,10,0,0
Roman-empire,iterative_relation_finetune,reliability_only,zero_layer_0,10,0.029756450653076173,0.021552800391692058,0.03796010091446029,0.029756450653076173,0.08256265074014664,0.04648782126605511,0.01673137964680791,10,0,0
Roman-empire,iterative_relation_finetune,reliability_only,zero_layer_1,10,0.014878225326538087,0.007619837948802438,0.022136612704273737,0.014878225326538087,0.05201199986040592,0.027991527412086725,0.013113307114690543,10,0,0
Roman-empire,iterative_relation_finetune,reliability_only,shuffled_reliability,10,0.04846451878547668,0.03911805653449774,0.05781098103645562,0.04846451878547668,0.11268972605466843,0.06745499223470688,0.01899046916514635,10,0,0
Roman-empire,iterative_relation_finetune,reliability_only,constant_reliability,10,0.03626896739006043,0.03067081800334172,0.04186711677677913,0.03626896739006043,0.09747617095708846,0.05462407171726227,0.018355099856853484,10,0,0
Roman-empire,iterative_relation_frozen,combined,zero_all,10,0.013342738151550293,0.012311534533885471,0.014373941769215115,0.013342738151550293,0.07666784077882767,0.03528062049299478,0.02193787433207035,10,0,0
