model,graph_type,seed,best_val_acc,test_acc_at_best_val,elapsed_sec,qk_strength_mean,qk_strength_layer1,qk_strength_layer2,gate_corr_degree,gate_corr_local_similarity,gate_corr_neighbor_variance,gate_corr_rwse_mean,gate_corr_layer1_local_similarity,gate_corr_layer2_local_similarity
mlp,heterophily,0,0.6277777552604675,0.6634920835494995,0.13611125946044922,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,1,0.6499999761581421,0.6714285612106323,0.10624408721923828,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,2,0.7388888597488403,0.6380952596664429,0.10460638999938965,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,3,0.7222222089767456,0.6650793552398682,0.11530017852783203,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,4,0.6499999761581421,0.5952380895614624,0.14508581161499023,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,5,0.6666666865348816,0.641269862651825,0.15486526489257812,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,6,0.7111111283302307,0.6746031641960144,0.1362767219543457,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,7,0.6333333253860474,0.6650793552398682,0.12667298316955566,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,8,0.7388888597488403,0.7158730030059814,0.17684149742126465,nan,nan,nan,nan,nan,nan,nan,nan,nan
mlp,heterophily,9,0.6111111044883728,0.620634913444519,0.11223697662353516,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,0,0.8388888835906982,0.761904776096344,0.853825569152832,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,1,0.8500000238418579,0.8111110925674438,0.6781110763549805,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,2,0.8500000238418579,0.8111110925674438,1.1841046810150146,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,3,0.8333333134651184,0.7777777910232544,1.242363691329956,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,4,0.8388888835906982,0.8079364895820618,0.7652852535247803,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,5,0.800000011920929,0.7730158567428589,0.6046924591064453,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,6,0.8722222447395325,0.8206349015235901,0.6016380786895752,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,7,0.7888888716697693,0.8301587104797363,0.7435853481292725,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,8,0.8833333253860474,0.8333333134651184,1.063124656677246,nan,nan,nan,nan,nan,nan,nan,nan,nan
gcn,heterophily,9,0.7777777910232544,0.8190476298332214,0.7388763427734375,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,0,0.8388888835906982,0.817460298538208,4.87464451789856,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,1,0.855555534362793,0.8380952477455139,2.790419578552246,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,2,0.8777777552604675,0.7952380776405334,3.927778720855713,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,3,0.8444444537162781,0.8238095045089722,3.461280345916748,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,4,0.7888888716697693,0.8015872836112976,3.5293710231781006,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,5,0.7777777910232544,0.7428571581840515,2.3291330337524414,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,6,0.8333333134651184,0.8365079164505005,4.990530252456665,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,7,0.8444444537162781,0.858730137348175,4.7550623416900635,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,8,0.8833333253860474,0.855555534362793,4.163712501525879,nan,nan,nan,nan,nan,nan,nan,nan,nan
linear_gt,heterophily,9,0.8444444537162781,0.8365079164505005,4.065695762634277,nan,nan,nan,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,0,0.8500000238418579,0.8222222328186035,6.065847396850586,0.008134882431477308,0.007973565720021725,0.008296199142932892,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,1,0.8833333253860474,0.8650793433189392,5.352348804473877,0.007564866216853261,0.0073209586553275585,0.0078087737783789635,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,2,0.8500000238418579,0.8015872836112976,3.5839107036590576,0.007307934109121561,0.006955411285161972,0.00766045693308115,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,3,0.8666666746139526,0.8317460417747498,4.026974201202393,0.007134041981771588,0.006989205721765757,0.00727887824177742,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,4,0.800000011920929,0.7888888716697693,4.381061315536499,0.007020853692665696,0.0068279760889709,0.007213731296360493,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,5,0.7777777910232544,0.7698412537574768,3.6942758560180664,0.007208903320133686,0.007100138813257217,0.007317667827010155,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,6,0.8111110925674438,0.8285714387893677,3.924928903579712,0.007179684704169631,0.00691566988825798,0.007443699520081282,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,7,0.8611111044883728,0.841269850730896,5.519702196121216,0.0072675475385040045,0.007157863117754459,0.00737723195925355,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,8,0.8611111044883728,0.8650793433189392,4.088345527648926,0.0072782221250236034,0.00698033208027482,0.0075761121697723866,nan,nan,nan,nan,nan,nan
q_only_gt,heterophily,9,0.800000011920929,0.8079364895820618,3.6291751861572266,0.007234351942315698,0.006903311237692833,0.007565392646938562,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,0,0.8722222447395325,0.817460298538208,6.027478218078613,0.006574615370482206,0.006805030163377523,0.006344200577586889,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,1,0.8777777552604675,0.8634920716285706,5.508562088012695,0.007084792712703347,0.007321794051676989,0.006847791373729706,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,2,0.8500000238418579,0.8015872836112976,3.4387598037719727,0.006387051427736878,0.006500785704702139,0.006273317150771618,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,3,0.8666666746139526,0.8317460417747498,4.068548202514648,0.006525729084387422,0.006442987360060215,0.006608470808714628,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,4,0.800000011920929,0.7888888716697693,4.680239677429199,0.006530944723635912,0.006775726564228535,0.006286162883043289,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,5,0.7777777910232544,0.7698412537574768,3.7809503078460693,0.006453428650274873,0.006369537673890591,0.006537319626659155,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,6,0.8111110925674438,0.8301587104797363,4.117054224014282,0.006201168289408088,0.006307227071374655,0.006095109507441521,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,7,0.8611111044883728,0.841269850730896,5.736377477645874,0.006166633451357484,0.006128497421741486,0.006204769480973482,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,8,0.8777777552604675,0.8730158805847168,6.295714378356934,0.006594154052436352,0.006774019915610552,0.006414288189262152,nan,nan,nan,nan,nan,nan
k_only_gt,heterophily,9,0.7944444417953491,0.8111110925674438,3.704388380050659,0.006539284018799663,0.0064530810341238976,0.006625487003475428,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,0,0.8666666746139526,0.8222222328186035,6.294694185256958,0.007155740633606911,0.007294959854334593,0.007016521412879229,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,1,0.8833333253860474,0.8650793433189392,5.666381597518921,0.0074677313677966595,0.007525143213570118,0.007410319522023201,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,2,0.8500000238418579,0.8015872836112976,3.602747917175293,0.006803244585171342,0.006603758316487074,0.00700273085385561,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,3,0.8666666746139526,0.8333333134651184,4.2145836353302,0.006720521720126271,0.006571096833795309,0.006869946606457233,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,4,0.800000011920929,0.7873015999794006,4.636343240737915,0.0067372608464211226,0.006817223504185677,0.0066572981886565685,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,5,0.7777777910232544,0.7698412537574768,3.8452699184417725,0.006750108441337943,0.006537549197673798,0.0069626676850020885,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,6,0.8111110925674438,0.8301587104797363,4.1362998485565186,0.006568046752363443,0.006434601731598377,0.0067014917731285095,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,7,0.8611111044883728,0.841269850730896,5.784007549285889,0.0064477804116904736,0.006267122458666563,0.006628438364714384,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,8,0.8777777552604675,0.8761904835700989,6.163612365722656,0.006899089319631457,0.006856773514300585,0.00694140512496233,nan,nan,nan,nan,nan,nan
qk_gt,heterophily,9,0.800000011920929,0.8079364895820618,3.778768301010132,0.006824194453656673,0.0065599591471254826,0.007088429760187864,nan,nan,nan,nan,nan,nan
gate_gt,heterophily,0,0.8722222447395325,0.8333333134651184,2.8293471336364746,nan,nan,nan,-0.46497647466466197,-0.15255947318092752,-0.267893720651136,-0.3741793956938338,-0.23621599742544463,-0.06594430124498578
gate_gt,heterophily,1,0.8833333253860474,0.8571428656578064,3.3949122428894043,nan,nan,nan,-0.03418916806561698,0.37749634370683,-0.1846879210803813,-0.14187048506402591,0.295400268456257,0.15575317203850034
gate_gt,heterophily,2,0.8999999761581421,0.8349206447601318,4.126224756240845,nan,nan,nan,-0.04988531755005872,0.06237257096461244,0.02189011464207289,-0.4065851326551276,0.1344355053543632,0.032993475873373306
gate_gt,heterophily,3,0.9111111164093018,0.8698412775993347,4.277826547622681,nan,nan,nan,-0.05348721075318683,0.30376187165693763,0.1589524917779589,-0.19923247624387397,0.3252322411095424,0.20607973203335722
gate_gt,heterophily,4,0.855555534362793,0.8126984238624573,4.486368894577026,nan,nan,nan,-0.06575615257809939,-0.017922086292153836,0.2604065490339025,-0.26649088152397465,-0.03528572384898645,-0.0070842194910861345
gate_gt,heterophily,5,0.8111110925674438,0.8222222328186035,2.847682476043701,nan,nan,nan,0.033659975480949976,0.13728398766149058,-0.5522773847999687,-0.010071806707353312,0.05513931413653795,0.15448919162311464
gate_gt,heterophily,6,0.8999999761581421,0.8714285492897034,5.982889175415039,nan,nan,nan,0.03760443086000855,0.1789758091848394,0.0010803773127157168,-0.017312855830911193,0.3873660739421738,-0.17134799489672306
gate_gt,heterophily,7,0.8611111044883728,0.8444444537162781,3.4070470333099365,nan,nan,nan,-0.17570507946414832,-0.039792156740633536,-0.2720234603801531,0.034074457381128354,-0.297006687529565,0.09267295946219022
gate_gt,heterophily,8,0.9222221970558167,0.9095237851142883,5.006369113922119,nan,nan,nan,-0.26470542278819253,-0.2579046857414904,-0.6011477906643785,-0.010153210056625466,-0.3381636767985472,-0.14523225721352967
gate_gt,heterophily,9,0.8277778029441833,0.8634920716285706,3.404372215270996,nan,nan,nan,-0.04855396381552388,0.27134934130237087,-0.15429163021556708,-0.16151651717171014,0.1703120005865961,0.20673906055886915
