dataset,model,n,test_acc_mean,test_acc_std,macro_f1_mean,alpha_mean,alpha_corr_local_similarity,alpha_corr_label_homophily,local_logit_norm_mean,global_logit_norm_mean,local_expert_test_acc,global_expert_test_acc,test_local_only_correct,test_global_only_correct,test_global_correct_given_local_wrong,selected_fixed_alpha,fallback_max_abs_error
Actor,best_fixed_alpha_by_val,3,0.361622820297877,0.0067164060118037544,0.33141619693990865,0.0,nan,nan,nan,2.902919054031372,nan,0.361622820297877,nan,nan,nan,0.0,0.0
Actor,fixed_alpha_000,3,0.361622820297877,0.0067164060118037544,0.33141619693990865,0.0,nan,nan,nan,2.902919054031372,nan,0.361622820297877,nan,nan,nan,0.0,0.0
Actor,fixed_alpha_050,3,0.35592106978098553,0.004589574410276676,0.3164553985576795,0.4999999701976776,nan,nan,0.6540608803431193,2.902919054031372,0.28793861468633014,0.361622820297877,0.10789474099874496,0.18157895902792612,0.25492481390635174,0.5,nan
Actor,fixed_alpha_100,3,0.28793861468633014,0.010323337919658967,0.19602493776939808,0.9999999403953552,nan,nan,0.6540608803431193,nan,0.28793861468633014,nan,nan,nan,nan,1.0,1.9073486328125e-06
Actor,gcn_pyg,3,0.28793861468633014,0.010323337919658967,0.19602493776939808,nan,nan,nan,0.6540608803431193,nan,0.28793861468633014,nan,nan,nan,nan,nan,nan
Actor,global_only,3,0.361622820297877,0.0067164060118037544,0.33141619693990865,nan,nan,nan,nan,2.902919054031372,nan,0.361622820297877,nan,nan,nan,nan,nan
Actor,ordinary_gate,3,0.361622820297877,0.004472817203102077,0.33071287954677203,0.11868278309702873,-0.03488211338641021,-0.03690371967560946,0.6540608803431193,2.902919054031372,0.28793861468633014,0.361622820297877,0.10789474099874496,0.18157895902792612,0.25492481390635174,nan,nan
Actor,reliability_gate,3,0.3611842294534047,0.0047744499368850574,0.3313040315368476,0.11361438346405824,0.057668687622095254,-0.031098708750817567,0.6540608803431193,2.902919054031372,0.28793861468633014,0.361622820297877,0.10789474099874496,0.18157895902792612,0.25492481390635174,nan,nan
Chameleon,best_fixed_alpha_by_val,3,0.5416666666666666,0.060163961689522545,0.5318886421864677,0.6666666666666666,nan,nan,1.987848162651062,4.201964378356934,0.5800438523292542,0.4649122953414917,nan,nan,nan,0.6666666666666666,1.3510386149088542e-06
Chameleon,fixed_alpha_000,3,0.4736842115720113,0.008205384255032332,0.45625836890002497,0.0,nan,nan,nan,5.8138424555460615,nan,0.4736842115720113,nan,nan,nan,0.0,0.0
Chameleon,fixed_alpha_050,3,0.49780702590942383,0.0232773102425677,0.4841374419988867,0.5,nan,nan,1.336192646374305,5.8138424555460615,0.5328947305679321,0.4736842115720113,0.20687134563922882,0.14766081919272742,0.31652602553367615,0.5,nan
Chameleon,fixed_alpha_100,3,0.5328947305679321,0.07155532749659424,0.5123921618696365,1.0,nan,nan,1.336192646374305,nan,0.5328947305679321,nan,nan,nan,nan,1.0,1.3758738835652669e-06
Chameleon,gcn_pyg,3,0.5328947305679321,0.07155532749659424,0.5123921618696365,nan,nan,nan,1.336192646374305,nan,0.5328947305679321,nan,nan,nan,nan,nan,nan
Chameleon,global_only,3,0.4736842115720113,0.008205384255032332,0.45625836890002497,nan,nan,nan,nan,5.8138424555460615,nan,0.4736842115720113,nan,nan,nan,nan,nan
Chameleon,ordinary_gate,3,0.49488304058710736,0.02166012620346123,0.480628654539999,0.2078795259197553,-0.20094775173388854,-0.14697968961114777,1.336192646374305,5.8138424555460615,0.5328947305679321,0.4736842115720113,0.20687134563922882,0.14766081919272742,0.31652602553367615,nan,nan
Chameleon,reliability_gate,3,0.49488304058710736,0.02166012620346123,0.480628654539999,0.19758107140660286,-0.0959427265669253,-0.05010801597955829,1.336192646374305,5.8138424555460615,0.5328947305679321,0.4736842115720113,0.20687134563922882,0.14766081919272742,0.31652602553367615,nan,nan
Cora,best_fixed_alpha_by_val,3,0.8023333748181661,0.011556643577463107,0.7933909321884365,1.0,nan,nan,1.165356422464053,nan,0.8023333748181661,nan,nan,nan,nan,1.0,3.3775965372721356e-07
Cora,fixed_alpha_000,3,0.5480000178019205,0.005354131418950142,0.5250655595552775,0.0,nan,nan,nan,4.891787528991699,nan,0.5480000178019205,nan,nan,nan,0.0,0.0
Cora,fixed_alpha_050,3,0.6030000249544779,0.027796869676438102,0.5795198919777019,0.5,nan,nan,1.165356422464053,4.891787528991699,0.8023333748181661,0.5480000178019205,0.30933335423469543,0.055000003427267075,0.27632467945416767,0.5,nan
Cora,fixed_alpha_100,3,0.8023333748181661,0.011556643577463107,0.7933909321884365,1.0,nan,nan,1.165356422464053,nan,0.8023333748181661,nan,nan,nan,nan,1.0,3.3775965372721356e-07
Cora,gcn_pyg,3,0.8023333748181661,0.011556643577463107,0.7933909321884365,nan,nan,nan,1.165356422464053,nan,0.8023333748181661,nan,nan,nan,nan,nan,nan
Cora,global_only,3,0.5480000178019205,0.005354131418950142,0.5250655595552775,nan,nan,nan,nan,4.891787528991699,nan,0.5480000178019205,nan,nan,nan,nan,nan
Cora,ordinary_gate,3,0.6030000249544779,0.027796869676438102,0.5795198919777019,0.5,nan,nan,1.165356422464053,4.891787528991699,0.8023333748181661,0.5480000178019205,0.30933335423469543,0.055000003427267075,0.27632467945416767,nan,nan
Cora,reliability_gate,3,0.6030000249544779,0.027796869676438102,0.5795198919777019,0.5,nan,nan,1.165356422464053,4.891787528991699,0.8023333748181661,0.5480000178019205,0.30933335423469543,0.055000003427267075,0.27632467945416767,nan,nan
