graph_type,model,reliability_components,reliability_encoder,n,test_acc_mean,test_acc_std,best_val_acc_mean,qk_strength_mean,qk_gamma_q_abs_dev_mean,qk_gamma_k_abs_dev_mean,qk_gamma_q_std_mean,qk_gamma_k_std_mean,qk_gamma_q_abs_dev_max_mean,qk_gamma_k_abs_dev_max_mean,gate_corr_degree_mean,gate_corr_local_similarity_mean,gate_corr_neighbor_variance_mean,gate_corr_rwse_mean,gate_corr_layer1_local_similarity_mean,gate_corr_layer2_local_similarity_mean,elapsed_sec_mean,delta_vs_linear_gt
heterophily,gate_gt,degree,separate,10,0.8530158936977387,0.03391926920882313,0.8650000214576721,nan,nan,nan,nan,nan,nan,nan,-0.1782608823228475,0.04064032592870292,-0.0872510353903296,-0.06854237226017464,0.005830274112558753,0.03893457188428018,8.414044713973999,nan
heterophily,reliability_gt,degree,separate,10,0.8728571772575379,0.016714969980658682,0.8872222423553466,0.0067426177440211175,0.00029913681064499544,0.00041874398157233373,0.00037411564844660463,0.0005135827377671376,0.0020866483449935914,0.0024664223194122313,-0.04794692483277116,0.055559645593363266,0.020791119901079045,-0.006491431114691654,0.02951962441146834,0.03527916481327842,18.45830385684967,nan
homophily,gate_gt,degree,separate,10,0.9663492202758789,0.009856611932146844,0.9788889110088348,nan,nan,nan,nan,nan,nan,nan,0.022484564336792395,-0.039519245484356764,0.05109089639796387,0.011037534666861644,0.021913609846000996,-0.07108041253480402,5.958143472671509,nan
homophily,reliability_gt,degree,separate,10,0.9709523916244507,0.005266875794060397,0.9788889110088348,0.0067522036610171195,0.00018144135683542117,0.00026253307005390524,0.00023175700916908682,0.00032347653759643433,0.001479506492614746,0.0017994016408920289,0.09150328329537528,-0.08361557912980065,0.04660349212317216,-0.003612008224426524,0.0666305925764355,-0.09928737463038201,10.993927693367004,nan
noisy,gate_gt,degree,separate,10,0.6277777910232544,0.04951896800019397,0.6488888978958129,nan,nan,nan,nan,nan,nan,nan,-0.08833011211536444,-0.0430355109346519,-0.005599738035252333,-0.05494100119252201,-0.035483234964716774,-0.04413901094050089,7.216484332084656,nan
noisy,reliability_gt,degree,separate,10,0.6200000047683716,0.04879604094944498,0.6483333468437195,0.006746769766323268,0.00030140295857563617,0.000362712841888424,0.000379424134735018,0.0004300407948903739,0.00206013023853302,0.0021992653608322145,-0.10787922829127762,0.013423803307208427,-0.0016676219566181464,-0.06774250922465419,0.02958393194832337,0.0012642105587404213,10.896399855613708,nan
